"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedTotalQuantity","EnactedType","PBtotal","PBtype","QuantActualTotal","QuantEnactedType","QuantPBtotal","QuantPBtype"
"1",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","1  ","9440A11300","Utility F/W Aircraft","A","Weapon System Cost","1  ","Add","U",2015,"Total",10787,NA,NA,NA,NA,NA,1,NA,NA,NA
"2",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","2  ","9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","2  ","Add","U",2015,"Total",165890,NA,NA,NA,NA,NA,18,NA,NA,NA
"3",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","3  ","9670A00005","MQ-1 UAV","A","Weapon System Cost","3  ","Add","U",2015,"Total",238081,NA,NA,NA,NA,NA,19,NA,NA,NA
"4",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","4  ","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","4  ","Add","U",2015,"Total",3964,NA,NA,NA,NA,NA,0,NA,NA,NA
"5",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","5  ","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","5  ","Add","U",2015,"Total",401617,NA,NA,NA,NA,NA,55,NA,NA,NA
"6",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","6  ","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","6  ","Add","U",2015,"Total",1116940,NA,NA,NA,NA,NA,48,NA,NA,NA
"7",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","6  ","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","6  ","Add","U",2015,"Total",-150931,NA,NA,NA,NA,NA,0,NA,NA,NA
"8",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","7  ","Add","U",2015,"Total",157338,NA,NA,NA,NA,NA,0,NA,NA,NA
"9",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","C","C (FY 2015 for FY 2016) (M)","7  ","Non-Add","U",2015,"Total",157338,NA,NA,NA,NA,NA,0,NA,NA,NA
"10",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","C","C (FY 2016 for FY 2017) (M)","7  ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"11",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","C","C (FY 2017 for FY 2018) (M)","7  ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"12",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","8  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","8  ","Add","U",2015,"Total",1464384,NA,NA,NA,NA,NA,105,NA,NA,NA
"13",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","8  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","8  ","Add","U",2015,"Total",-112807,NA,NA,NA,NA,NA,0,NA,NA,NA
"14",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","9  ","Add","U",2015,"Total",117138,NA,NA,NA,NA,NA,0,NA,NA,NA
"15",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","C (FY 2015 for FY 2016) (M)","9  ","Non-Add","U",2015,"Total",117138,NA,NA,NA,NA,NA,0,NA,NA,NA
"16",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","C (FY 2016 for FY 2017) (M)","9  ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"17",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","C (FY 2017 for FY 2018) (M)","9  ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"18",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","C (FY 2017 for FY 2019) (M)","9  ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"19",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","C (FY 2017 for FY 2020) (M)","9  ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"20",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","C (FY 2017 for FY 2021) (M)","9  ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"21",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","10 ","6773A05009","UH-60 Black Hawk A and L Models","A","Weapon System Cost","10 ","Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"22",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","6775A05101","CH-47 Helicopter","A","Weapon System Cost","11 ","Add","U",2015,"Total",982880,NA,NA,NA,NA,NA,32,NA,NA,NA
"23",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","6775A05101","CH-47 Helicopter","B","Less: Advance Procurement (PY)","11 ","Add","U",2015,"Total",-90376,NA,NA,NA,NA,NA,0,NA,NA,NA
"24",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6775A05101","CH-47 Helicopter","C","Advance Procurement (CY)","12 ","Add","U",2015,"Total",102361,NA,NA,NA,NA,NA,0,NA,NA,NA
"25",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6775A05101","CH-47 Helicopter","C","C (FY 2015 for FY 2016) (M)","12 ","Non-Add","U",2015,"Total",102361,NA,NA,NA,NA,NA,0,NA,NA,NA
"26",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6775A05101","CH-47 Helicopter","C","C (FY 2016 for FY 2017) (M)","12 ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"27",2017,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6775A05101","CH-47 Helicopter","C","C (FY 2017 for FY 2018) (M)","12 ","Non-Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"28",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","13 ","0023A01001","MQ-1 Payload (MIP)","A","Weapon System Cost","13 ","Add","U",2015,"Total",25313,NA,NA,NA,NA,NA,0,NA,NA,NA
"29",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","14 ","1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","14 ","Add","U",2015,"Total",14182,NA,NA,NA,NA,NA,0,NA,NA,NA
"30",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","15 ","1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","15 ","Add","U",2015,"Total",131892,NA,NA,NA,NA,NA,0,NA,NA,NA
"31",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","16 ","2706AA6605","AH-64 Mods","A","Weapon System Cost","16 ","Add","U",2015,"Total",181869,NA,NA,NA,NA,NA,0,NA,NA,NA
"32",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","17 ","3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","17 ","Add","U",2015,"Total",32092,NA,NA,NA,NA,NA,0,NA,NA,NA
"33",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","18 ","3403A02111","GRCS SEMA Mods (MIP)","A","Weapon System Cost","18 ","Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"34",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","19 ","3404A02110","ARL SEMA Mods (MIP)","A","Weapon System Cost","19 ","Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"35",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","20 ","3405A02112","EMARSS SEMA Mods (MIP)","A","Weapon System Cost","20 ","Add","U",2015,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"36",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","21 ","4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","21 ","Add","U",2015,"Total",15029,NA,NA,NA,NA,NA,0,NA,NA,NA
"37",2017,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","22 ","6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","22 ","Add","U",2015,"Total",76515,NA,NA,NA,NA,NA,0,NA,NA,NA
