"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","PBtotal","PBtype"
"1",2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Working Capital Fund","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2011,"Total",54636,NA
"2",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2011,"Total",124327,NA
"3",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2011,"Total",551647,NA
"4",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2011,"Total",36955,NA
"5",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","040","040","0200","National Def Sealift Vessel","Y","Y","U",2011,"Total",0,NA
"6",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2011,"Total",84908,NA
"7",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2011,"Total",24942,NA
"8",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","070","070","0250","TAH Maintenance","Y","Y","U",2011,"Total",24383,NA
"9",2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","080","080","0900","Research And Development","Y","Y","U",2011,"Total",18149,NA
"10",2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","Ready Reserve and Prepositioning Force","090","090","0500","Ready Reserve Force","Y","Y","U",2011,"Total",332130,NA
"11",2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","Ready Reserve and Prepositioning Force","100","100","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2011,"Total",40000,NA
"12",2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","Working Capital Fund","010","010","220","C-17 CLS Engine Repair","Y","Y","U",2011,"Total",0,NA
"13",2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","020","020","200","Transportation Fallen Heroes","Y","Y","U",2011,"Total",15000,NA
"14",2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","030","030","210","Container Deconsolidation","Y","Y","U",2011,"Total",2000,NA
"15",2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","Working Capital Fund","040","040","111","Supplies and Materials (Medical/Dental)","Y","Y","U",2011,"Total",66861,NA
"16",2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","010","010","ES08","Defense Logistics Agency (DLA)","Y","Y","U",2011,"Total",39468,NA
"17",2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Undistributed","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Total",468384,NA
"18",2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2011,"Total",1273571,NA
"19",2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Working Capital Fund","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2012,"Base",NA,101194
"20",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2012,"Base",NA,0
"21",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2012,"Base",NA,4e+05
"22",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2012,"Base",NA,24161
"23",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","040","040","0200","National Def Sealift Vessel","Y","Y","U",2012,"Base",NA,1138
"24",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2012,"Base",NA,92567
"25",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2012,"Base",NA,184109
"26",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","070","070","0250","TAH Maintenance","Y","Y","U",2012,"Base",NA,40831
"27",2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","080","080","0900","Research And Development","Y","Y","U",2012,"Base",NA,48443
"28",2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","Ready Reserve and Prepositioning Force","090","090","0500","Ready Reserve Force","Y","Y","U",2012,"Base",NA,273826
"29",2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","Ready Reserve and Prepositioning Force","100","100","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2012,"Base",NA,0
"30",2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","Working Capital Fund","010","010","220","C-17 CLS Engine Repair","Y","Y","U",2012,"Base",NA,0
"31",2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","020","020","200","Transportation Fallen Heroes","Y","Y","U",2012,"Base",NA,0
"32",2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","030","030","210","Container Deconsolidation","Y","Y","U",2012,"Base",NA,0
"33",2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","Working Capital Fund","040","040","111","Supplies and Materials (Medical/Dental)","Y","Y","U",2012,"Base",NA,65372
"34",2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","010","010","ES08","Defense Logistics Agency (DLA)","Y","Y","U",2012,"Base",NA,31614
"35",2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Undistributed","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Base",NA,0
"36",2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2012,"Base",NA,1376830
"37",2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Working Capital Fund","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2012,"OCO",NA,54000
"38",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2012,"OCO",NA,0
"39",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2012,"OCO",NA,0
"40",2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2012,"OCO",NA,0
"41",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","040","040","0200","National Def Sealift Vessel","Y","Y","U",2012,"OCO",NA,0
"42",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2012,"OCO",NA,0
"43",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2012,"OCO",NA,0
"44",2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","Mobilization Preparedness","070","070","0250","TAH Maintenance","Y","Y","U",2012,"OCO",NA,0
"45",2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","080","080","0900","Research And Development","Y","Y","U",2012,"OCO",NA,0
"46",2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","Ready Reserve and Prepositioning Force","090","090","0500","Ready Reserve Force","Y","Y","U",2012,"OCO",NA,0
"47",2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","Ready Reserve and Prepositioning Force","100","100","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2012,"OCO",NA,0
