"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","Classified","FiscalYear","Project.Title","BudgetMetric","OriginType","EnactedType","PBtotal","PBtype","EnactedTotal"
"1",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","AIRCRAFT MAINTENANCE FACILITIES","FORT RUCKER","U","2011","Aviation Maintenance Facility","AuthAmount","Base",NA,NA,36000,NA
"2",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","AIRCRAFT MAINTENANCE FACILITIES","FORT RUCKER","U","2011","Aviation Component Maintenance Shop","AuthAmount","Base",NA,NA,29000,NA
"3",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","AIRFIELD OPERATIONAL BUILDINGS","FORT RUCKER","U","2011","Training Aids Center","AuthAmount","Base",NA,NA,4650,NA
"4",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","SAFETY, DISP, & REHAB FAC","FORT GREELY","U","2011","Fire Station","AuthAmount","Base",NA,NA,26000,NA
"5",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT RICHARDSON","U","2011","Brigade Complex, Ph 1","AuthAmount","Base",NA,NA,67038,NA
"6",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","SIMULATION FACILITIES","FORT RICHARDSON","U","2011","Simulations Center","AuthAmount","Base",NA,NA,34000,NA
"7",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","TRAINING RANGES","FORT RICHARDSON","U","2011","Multipurpose Machine Gun Range","AuthAmount","Base",NA,NA,12200,NA
"8",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","AIRCRAFT MAINTENANCE FACILITIES","FORT WAINWRIGHT","U","2011","Aviation Task Force Complex, Ph 2A (Hngar)","AuthAmount","Base",NA,NA,142650,NA
"9",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","TRAINING RANGES","FORT WAINWRIGHT","U","2011","Urban Assault Course","AuthAmount","Base",NA,NA,3350,NA
"10",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","AIRFIELD OPERATIONAL BUILDINGS","FORT WAINWRIGHT","U","2011","Aviation Task Force Complex, Ph 2B (COF)","AuthAmount","Base",NA,NA,27000,NA
"11",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","PRESIDIO MONTEREY","U","2011","Advanced Individual Training Barracks","AuthAmount","Base",NA,NA,63000,NA
"12",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","TRAINING BUILDINGS","PRESIDIO MONTEREY","U","2011","General Instruction Building","AuthAmount","Base",NA,NA,39000,NA
"13",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","COMMUNICATION BUILDINGS","PRESIDIO MONTEREY","U","2011","Satellite Communications Facility","AuthAmount","Base",NA,NA,38000,NA
"14",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","SIMULATION FACILITIES","FORT CARSON, COLORADO","U","2011","Simulations Center","AuthAmount","Base",NA,NA,40000,NA
"15",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","U","2011","Automated Sniper Field Fire Range","AuthAmount","Base",NA,NA,3650,NA
"16",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","AIRFIELD OPERATIONAL BUILDINGS","FORT CARSON, COLORADO","U","2011","Brigade Complex","AuthAmount","Base",NA,NA,56000,NA
"17",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","AIRFIELD OPERATIONAL BUILDINGS","FORT CARSON, COLORADO","U","2011","Battalion Headquarters","AuthAmount","Base",NA,NA,6700,NA
"18",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","FL","FLORIDA","RELIGIOUS FACILITIES","EGLIN AFB","U","2011","Chapel","AuthAmount","Base",NA,NA,6900,NA
"19",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","FL","FLORIDA","AIRFIELD OPERATIONAL BUILDINGS","Miami-Dade County","U","2011","Command and Control Facility","AuthAmount","Base",NA,NA,41000,NA
"20",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","TANK AND AUTOMOTIVE MAINTENANCE FACILITIES","FORT BENNING","U","2011","Vehicle Maintenance Shop","AuthAmount","Base",NA,NA,53000,NA
"21",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT BENNING","U","2011","Trainee Barracks Ph 2","AuthAmount","Base",NA,NA,51000,NA
"22",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","TRAINING BUILDINGS","FORT BENNING","U","2011","Training Battalion Complex, Ph 2","AuthAmount","Base",NA,NA,29200,NA
"23",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","AIRFIELD OPERATIONAL BUILDINGS","FORT GORDON","U","2011","Training Aids Center","AuthAmount","Base",NA,NA,4150,NA
"24",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","SIMULATION FACILITIES","FORT STEWART, GEORGIA","U","2011","Simulations Center","AuthAmount","Base",NA,NA,26000,NA
"25",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","TRAINING RANGES","FORT STEWART, GEORGIA","U","2011","Modified Record Fire Range","AuthAmount","Base",NA,NA,3750,NA
"26",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","AIRCRAFT MAINTENANCE FACILITIES","FORT STEWART, GEORGIA","U","2011","Aviation Unit Operations Complex","AuthAmount","Base",NA,NA,47000,NA
"27",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","TRAINING BUILDINGS","FORT STEWART, GEORGIA","U","2011","General Instruction Building","AuthAmount","Base",NA,NA,8200,NA
"28",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","AIRFIELD OPERATIONAL BUILDINGS","FORT STEWART, GEORGIA","U","2011","Battalion Complex","AuthAmount","Base",NA,NA,18000,NA
"29",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","TRAINING RANGES","FORT STEWART, GEORGIA","U","2011","Automated Multipurpose Machine Gun Range","AuthAmount","Base",NA,NA,9100,NA
"30",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","TRAINING RANGES","FORT STEWART, GEORGIA","U","2011","Automated Infantry Platoon Battle Course","AuthAmount","Base",NA,NA,6200,NA
"31",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","AIRFIELD OPERATIONAL BUILDINGS","FORT STEWART, GEORGIA","U","2011","Training Aids Center","AuthAmount","Base",NA,NA,7000,NA
"32",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","MISC UTILITIES-SQUARE FEET","FORT SHAFTER","U","2011","Flood Mitigation","AuthAmount","Base",NA,NA,23000,NA
"33",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","AIRFIELD OPERATIONAL BUILDINGS","FORT SHAFTER","U","2011","Command and Control Facility, Ph 1","AuthAmount","Base",NA,NA,58000,NA
"34",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","SCHOFIELD BARRACKS","U","2011","Barracks","AuthAmount","Base",NA,NA,188000,NA
"35",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","AIRFIELD OPERATIONAL BUILDINGS","SCHOFIELD BARRACKS","U","2011","Training Aids Center","AuthAmount","Base",NA,NA,24000,NA
"36",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","TRIPLER ARMY MEDICAL CENTER","U","2011","Barracks","AuthAmount","Base",NA,NA,28000,NA
"37",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","TANK AND AUTOMOTIVE MAINTENANCE FACILITIES","FORT LEAVENWORTH","U","2011","Vehicle Maintenance Shop","AuthAmount","Base",NA,NA,7100,NA
"38",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","TRAINING RANGES","FORT RILEY, KANSAS","U","2011","Known Distance Range","AuthAmount","Base",NA,NA,7200,NA
"39",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","TRAINING RANGES","FORT RILEY, KANSAS","U","2011","Automated Qualification/Training Range","AuthAmount","Base",NA,NA,14800,NA
"40",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT RILEY, KANSAS","U","2011","Battalion Complex, Ph 1","AuthAmount","Base",NA,NA,31000,NA
"41",2013,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","TRAINING RANGES","FORT RILEY, KANSAS","U","2011","Automated Infantry Squad Battle Course","AuthAmount","Base",NA,NA,4100,NA
