"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","Classified","FiscalYear","OriginType","PBtotal","PBtype"
"1",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","5","Basic Pay","U",2011,"Total",7554876,NA
"2",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","10","Retired Pay Accrual","U",2011,"Total",2397039,NA
"3",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","25","Basic Allowance for Housing","U",2011,"Total",2310861,NA
"4",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","30","Basic Allowance for Subsistence","U",2011,"Total",294515,NA
"5",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","35","Incentive Pays     ","U",2011,"Total",103372,NA
"6",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","40","Special Pays       ","U",2011,"Total",474545,NA
"7",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","45","Allowances          ","U",2011,"Total",294066,NA
"8",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","50","Separation Pay      ","U",2011,"Total",73662,NA
"9",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","55","Social Security Tax  ","U",2011,"Total",576044,NA
"10",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","60","Basic Pay ","U",2011,"Total",16087461,NA
"11",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","65","Retired Pay Accrual ","U",2011,"Total",5102312,NA
"12",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","80","Basic Allowance for Housing","U",2011,"Total",5678658,NA
"13",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","85","Incentive Pays     ","U",2011,"Total",103477,NA
"14",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","90","Special Pays       ","U",2011,"Total",1314312,NA
"15",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","95","Allowances         ","U",2011,"Total",1212803,NA
"16",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","100","Separation Pay     ","U",2011,"Total",288893,NA
"17",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","105","Social Security Tax   ","U",2011,"Total",1223813,NA
"18",2013,"2010A","Military Personnel, Army","ARMY","03","Pay and Allowances of Cadets/Midshipmen","110","Academy Cadets ","U",2011,"Total",75229,NA
"19",2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2011,"Total",1734973,NA
"20",2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind ","U",2011,"Total",2145842,NA
"21",2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2011,"Total",1859,NA
"22",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","125","Accession Travel ","U",2011,"Total",203369,NA
"23",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","130","Training Travel ","U",2011,"Total",193052,NA
"24",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","135","Operational Travel  ","U",2011,"Total",495975,NA
"25",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","140","Rotational Travel  ","U",2011,"Total",744563,NA
"26",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","145","Separation Travel ","U",2011,"Total",195975,NA
