"","FY","VendorSize","Place","Area","CrisisFunding","Amount","Actions"
"1",2000,"Big Five","Domestic","Products","Disaster",0.0186423872060811,35
"2",2000,"Big Five","Domestic","Products","Residual",36.6300249523069,13218
"3",2000,"Big Five","Domestic","Services","Disaster",0.111979020212092,99
"4",2000,"Big Five","Domestic","Services","Residual",12.9465402951272,12881
"5",2000,"Big Five","Domestic","R&D","Disaster",0.618398669962923,50
"6",2000,"Big Five","Domestic","R&D","Residual",15.9144852123246,3813
"7",2000,"Big Five","Regional Support","Products","Residual",0.00131032327171072,5
"8",2000,"Big Five","Regional Support","Services","Residual",0.00595800348854393,13
"9",2000,"Big Five","Regional Support","R&D","Residual",-0.00173400250866882,1
"10",2000,"Big Five","Rest of World","Products","Residual",0.057376066370447,71
"11",2000,"Big Five","Rest of World","Services","Residual",0.967808129117927,364
"12",2000,"Big Five","Rest of World","R&D","Residual",0.054609500047916,11
"13",2000,"Large","Domestic","Products","Disaster",0.0177911875698077,41
"14",2000,"Large","Domestic","Products","Residual",30.67295302923,53548
"15",2000,"Large","Domestic","Services","Disaster",0.904135908519787,189
"16",2000,"Large","Domestic","Services","Residual",32.5418719577364,46069
"17",2000,"Large","Domestic","R&D","Disaster",0.0743220761478934,10
"18",2000,"Large","Domestic","R&D","Residual",20.8754503843348,7223
"19",2000,"Large","Regional Support","Products","Residual",0.120497186849353,23
"20",2000,"Large","Regional Support","Services","Residual",0.0574888611528329,16
"21",2000,"Large","Regional Support","R&D","Residual",0.00023761660617192,5
"22",2000,"Large","Rest of World","Products","Residual",1.76904396525407,1052
"23",2000,"Large","Rest of World","Services","Residual",2.56204803448409,2145
"24",2000,"Large","Rest of World","R&D","Residual",0.0885718729397926,67
"25",2000,"Medium","Domestic","Products","Disaster",0.0011019114293908,8
"26",2000,"Medium","Domestic","Products","Residual",22.3029749216514,72790
"27",2000,"Medium","Domestic","Services","Disaster",0.187816629811784,132
"28",2000,"Medium","Domestic","Services","Residual",41.1718353750849,107503
"29",2000,"Medium","Domestic","R&D","Residual",10.8524716051758,9238
"30",2000,"Medium","Regional Support","Products","Residual",0.0336996881582373,128
"31",2000,"Medium","Regional Support","Services","Residual",0.249704004731369,421
"32",2000,"Medium","Regional Support","R&D","Residual",0.00228781100429149,5
"33",2000,"Medium","Rest of World","Products","Residual",1.83522660733935,3969
"34",2000,"Medium","Rest of World","Services","Residual",4.34342963957192,11231
"35",2000,"Medium","Rest of World","R&D","Residual",0.162533953520462,220
"36",2000,"Small","Domestic","Products","Disaster",0.00118722990162534,16
"37",2000,"Small","Domestic","Products","Residual",13.5995794675048,71432
"38",2000,"Small","Domestic","Services","Disaster",0.0136610488393279,54
"39",2000,"Small","Domestic","Services","Residual",31.1705915141302,153670
"40",2000,"Small","Domestic","R&D","Residual",3.85959887809081,11724
"41",2000,"Small","Regional Support","Products","Residual",0.000114907491042459,2
