,SourceFiscalYear,AccountDSI,AccountTitle,Organization,BudgetActivity,BudgetActivityTitle,BudgetSubActivity,BudgetSubActivityTitle,Classified,FiscalYear,OriginType,ActualTotal,EnactedTotal,PBtotal,PBtype
1,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,5,Basic Pay,U,2009,Total,6807349,NA,NA,NA
2,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,10,Retired Pay Accrual,U,2009,Total,1931345,NA,NA,NA
3,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,25,Basic Allowance For Housing,U,2009,Total,2011056,NA,NA,NA
4,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,30,Basic Allowance For Subsistence,U,2009,Total,272136,NA,NA,NA
5,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,35,Incentive Pays     ,U,2009,Total,128389,NA,NA,NA
6,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,40,Special Pays       ,U,2009,Total,496804,NA,NA,NA
7,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,45,Allowances          ,U,2009,Total,263285,NA,NA,NA
8,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,50,Separation Pay      ,U,2009,Total,57448,NA,NA,NA
9,2011,2010A,"Military Personnel, Army",ARMY,1,Pay And Allowances Of Officers,55,Social Security Tax  ,U,2009,Total,520984,NA,NA,NA
10,2011,2010A,"Military Personnel, Army",ARMY,2,Pay And Allowances Of Enlisted,60,Basic Pay ,U,2009,Total,15434461,NA,NA,NA
11,2011,2010A,"Military Personnel, Army",ARMY,2,Pay And Allowances Of Enlisted,65,Retired Pay Accrual ,U,2009,Total,4329778,NA,NA,NA
12,2011,2010A,"Military Personnel, Army",ARMY,2,Pay And Allowances Of Enlisted,80,Basic Allowance For Housing ,U,2009,Total,5443687,NA,NA,NA
13,2011,2010A,"Military Personnel, Army",ARMY,2,Pay And Allowances Of Enlisted,85,Incentive Pays     ,U,2009,Total,99111,NA,NA,NA
14,2011,2010A,"Military Personnel, Army",ARMY,2,Pay And Allowances Of Enlisted,90,Special Pays       ,U,2009,Total,2261577,NA,NA,NA
15,2011,2010A,"Military Personnel, Army",ARMY,2,Pay And Allowances Of Enlisted,95,Allowances         ,U,2009,Total,1185693,NA,NA,NA
16,2011,2010A,"Military Personnel, Army",ARMY,2,Pay And Allowances Of Enlisted,100,Separation Pay     ,U,2009,Total,246881,NA,NA,NA
17,2011,2010A,"Military Personnel, Army",ARMY,2,Pay And Allowances Of Enlisted,105,Social Security Tax   ,U,2009,Total,1180249,NA,NA,NA
18,2011,2010A,"Military Personnel, Army",ARMY,3,Pay And Allowances Of Cadets/Midshipmen,110,Academy Cadets ,U,2009,Total,68996,NA,NA,NA
19,2011,2010A,"Military Personnel, Army",ARMY,4,Subsistence Of Enlisted Personnel,115,Basic Allowance For Subsistence ,U,2009,Total,1695033,NA,NA,NA
20,2011,2010A,"Military Personnel, Army",ARMY,4,Subsistence Of Enlisted Personnel,120,Subsistence-In-Kind ,U,2009,Total,2149612,NA,NA,NA
21,2011,2010A,"Military Personnel, Army",ARMY,4,Subsistence Of Enlisted Personnel,121,Family Subsistence Supplemental Allowance ,U,2009,Total,688,NA,NA,NA
22,2011,2010A,"Military Personnel, Army",ARMY,5,Permanent Change Of Station Travel,125,Accession Travel ,U,2009,Total,288386,NA,NA,NA
23,2011,2010A,"Military Personnel, Army",ARMY,5,Permanent Change Of Station Travel,130,Training Travel ,U,2009,Total,154141,NA,NA,NA
24,2011,2010A,"Military Personnel, Army",ARMY,5,Permanent Change Of Station Travel,135,Operational Travel  ,U,2009,Total,479893,NA,NA,NA
25,2011,2010A,"Military Personnel, Army",ARMY,5,Permanent Change Of Station Travel,140,Rotational Travel  ,U,2009,Total,767089,NA,NA,NA
26,2011,2010A,"Military Personnel, Army",ARMY,5,Permanent Change Of Station Travel,145,Separation Travel ,U,2009,Total,214458,NA,NA,NA
27,2011,2010A,"Military Personnel, Army",ARMY,5,Permanent Change Of Station Travel,150,Travel Of Organized Units ,U,2009,Total,19845,NA,NA,NA
28,2011,2010A,"Military Personnel, Army",ARMY,5,Permanent Change Of Station Travel,155,Non-Temporary Storage ,U,2009,Total,12000,NA,NA,NA
29,2011,2010A,"Military Personnel, Army",ARMY,5,Permanent Change Of Station Travel,160,Temporary Lodging Expense ,U,2009,Total,44811,NA,NA,NA
30,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,170,Apprehension Of Military Deserters ,U,2009,Total,2105,NA,NA,NA
31,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,175,Interest On Uniformed Services Savings ,U,2009,Total,17030,NA,NA,NA
32,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,180,Death Gratuities ,U,2009,Total,131300,NA,NA,NA
33,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,185,Unemployment Benefits ,U,2009,Total,335187,NA,NA,NA
34,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,195,Education Benefits ,U,2009,Total,2772,NA,NA,NA
35,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,200,Adoption Expenses ,U,2009,Total,610,NA,NA,NA
36,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,210,Transportation Subsidy ,U,2009,Total,9078,NA,NA,NA
37,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,212,Reserve Income Replacement Program,U,2009,Total,2555,NA,NA,NA
38,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,215,Partial Dislocation Allowance ,U,2009,Total,3215,NA,NA,NA
39,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,216,SGLI Extra Hazard Payments,U,2009,Total,251715,NA,NA,NA
40,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,217,Reserve Officers Training Corps (ROTC),U,2009,Total,97501,NA,NA,NA
41,2011,2010A,"Military Personnel, Army",ARMY,6,Other Military Personnel Costs,218,Junior ROTC,U,2009,Total,35500,NA,NA,NA
42,2011,2010A,"Military Personnel, Army",,,Less Reimbursables,,Less Reimbursables,U,2009,Total,-204290,NA,NA,NA
43,2011,1004A,"MEDICARE - Retiree Health Care Contribution , A",ARMY,1,Pay And Allowances Of Officers,300,"Military Personnel, Army",U,2009,Total,493373,NA,NA,NA
44,2011,1004A,"MEDICARE - Retiree Health Care Contribution , A",ARMY,2,Pay And Allowances Of Enlisted,300,"Military Personnel, Army",U,2009,Total,2408819,NA,NA,NA
45,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,10,Pay Group A Training  (15 Days & Drills 24/48),U,2009,Total,1178006,NA,NA,NA
