fiscal_year,ContractingCustomer,ContractingSubCustomer,MajorCommandID,ContractingOfficeID,ContractingOfficeName,IsOCOcrisisFunding,obligatedAmount,numberOfActions
1995,Defense,Navy,ORG-2936,AC525,NAVAL AIR SYSTEMS COMMAND,NULL,28056253.0000,7
1995,Defense,Navy,ORG-2936,AC533,NAVAL AIR SYSTEMS COMMAND,NULL,169704.0000,2
1995,Defense,Navy,ORG-2936,AC5G0,NAVAL AIR SYSTEMS COMMAND,NULL,261751466.0000,33
1995,Defense,Navy,ORG-2937,PK620,NAVAL RESERVE OFFICERS TRAINING,NULL,547092.0000,3
1995,Defense,Navy,ORG-2937,QX605,FLEET NUMERICAL OCEANOGRAPHY CEN,NULL,905818.0000,14
1995,Defense,Navy,ORG-2937,RA11F,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,27977794.0000,110
1995,Defense,Navy,ORG-2937,UA10C,FLEET + IND SUP CTR YOKOSUKA JA,NULL,6996704.0000,43
1995,Defense,Navy,ORG-2937,UN500,"US NAVAL HOSPITAL, OKINAWA",NULL,108528.0000,3
1995,Defense,Navy,ORG-2937,UX300,US NAVAL ANTARCTIC SUPPORT UNIT,NULL,705936.0000,3
1995,Defense,Navy,ORG-2937,WA40Y,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,306689.0000,7
1995,Defense,Navy,ORG-2937,WA50Z,DOD/DEPARTMENT OF THE NAVY,NULL,235222.0000,6
1995,Defense,Navy,ORG-2937,WL231,NAVAL RESERVE READINESS COMMAND,NULL,323411.0000,4
1995,Defense,Navy,ORG-2937,WN504,NAVAL MEDICAL CENTER,NULL,22881581.0000,338
1995,Defense,Navy,ORG-2937,WN647,NAVAL HOSPITAL,NULL,454451.0000,4
1995,Defense,Navy,ORG-2941,BD308,DEFENSE CONTRACT MANAGEMENT AREA,NULL,67275.0000,1
1995,Defense,Navy,ORG-2941,BS456,SUPERVISOR SHIPBUILDING CONVERSI,NULL,27338266.0000,140
1995,Defense,Navy,ORG-2941,BS673,SUPERVISOR SHIPBUILDING CONVERSI,NULL,40880939.0000,225
1995,Defense,Navy,ORG-2941,BW10D,"NAVAL SURFACE WARFARE CENTER, DA",NULL,56972186.0000,344
1995,Defense,Navy,ORG-2942,XSP02,DCMC LOCKHEED MARTIN MISSILES &,NULL,9396172.0000,22
1995,Defense,Navy,ORG-2943,F274H,DOD/DEPARTMENT OF THE NAVY,NULL,2381953.0000,8
1995,Defense,Navy,ORG-2943,F9999,MARINE CORPS SYSTEMS COMMAND,NULL,150057090.0000,276
1995,Defense,Navy,ORG-2944,D710S,SPACE AND NAVAL WARFARE SYSTEMS,NULL,460096.0000,2
1995,Other Agencies,NULL,NULL,NULL,NULL,NULL,1448361140.0000,18469
1996,Defense,Army,ORG-2757,CW43,USA ENGINEER DISTRICT ST LOUIS,NULL,54281749.0000,382
1996,Defense,Army,ORG-2854,BT63,U.S. ARMY INTELLIGENCE CENTER &,NULL,387908163.0000,1193
1996,Defense,Army,ORG-2861,SW01,DEF. CONTRACT. CMD. - WASHINGTON,NULL,1177148612.0000,3402
1996,Defense,Army,ORG-2872,CA05,"USA ENGINEER DISTRICT, SACRAMNTO",NULL,153917297.0000,581
1996,Defense,Army,ORG-2872,CA51,"USA ENGINEER DISTRICT, NEW YORK",NULL,125748659.0000,423
1996,Defense,Army,ORG-2872,CA61,"USA ENGINEER DSTRCT, PHILADELPHA",NULL,32486651.0000,83
1996,Defense,Navy,ORG-2936,A8004,DOD/DEPARTMENT OF THE NAVY,NULL,1194764.0000,32
1996,Defense,Navy,ORG-2936,A8005,DOD/DEPARTMENT OF THE NAVY,NULL,837720.0000,3
1996,Defense,Navy,ORG-2936,A8012,DOD/DEPARTMENT OF THE NAVY,NULL,23943989.0000,13
1996,Defense,Navy,ORG-2936,A8015,DOD/DEPARTMENT OF THE NAVY,NULL,1194312.0000,6
1996,Defense,Navy,ORG-2936,A8101,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,414352.0000,5
1996,Defense,Navy,ORG-2936,A8104,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,27425481.0000,200
1996,Defense,Navy,ORG-2936,A8107,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,65885202.0000,231
1996,Defense,Navy,ORG-2936,A8115,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,6133617.0000,60
1996,Defense,Navy,ORG-2936,AC514,NAVAL AIR SYSTEMS COMMAND,NULL,111641071.0000,47
1996,Defense,Navy,ORG-2936,AC528,NAVAL AIR SYSTEMS COMMAND,NULL,15800986.0000,6
1996,Defense,Navy,ORG-2936,AC535,NAVAL AIR SYSTEMS COMMAND,NULL,227082.0000,1
1996,Defense,Navy,ORG-2936,AT724,NAVAL AIR SYSTEMS COMMAND,NULL,43187844.0000,29
1996,Defense,Navy,ORG-2937,JA104,NAVAL INVENTORY CONTROL POINT,NULL,63272492.0000,284
1996,Defense,Navy,ORG-2937,JA105,NAVAL INVENTORY CONTROL POINT,NULL,72854514.0000,238
1996,Defense,Navy,ORG-2937,JA107,NAVAL INVENTORY CONTROL POINT,NULL,-204142.0000,2
1996,Defense,Navy,ORG-2937,JA115,NAVAL INVENTORY CONTROL POINT,NULL,213945104.0000,1386
1996,Defense,Navy,ORG-2937,QK501,NAVAL SUPPORT OFFICE MONTERAY BA,NULL,2711802.0000,41
1996,Defense,Navy,ORG-2937,RA11S,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,62179281.0000,173
1996,Defense,Navy,ORG-2937,SA10A,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,80095934.0000,343
1993,Defense,Navy,ORG-2936,AA411,NAVAL AIR SYSTEMS COMMAND,NULL,7369429.0000,2
1993,Defense,Navy,ORG-2936,AA4E0,NAVAL AIR SYSTEMS COMMAND,NULL,5570231.0000,3
1993,Defense,Navy,ORG-2936,AC5G0,NAVAL AIR SYSTEMS COMMAND,NULL,3900000.0000,1
1993,Defense,Navy,ORG-2936,AM616,NAVAL AIR SYSTEMS COMMAND,NULL,-1077465.0000,2
1993,Defense,Navy,ORG-2936,AT715,NAVAL AIR SYSTEMS COMMAND,NULL,1800000.0000,1
1993,Defense,Navy,ORG-2940,C2474,NAVAL FACILITIES ENGINEERING COM,NULL,7940319.0000,69
1993,Defense,Navy,ORG-2940,C4255,NAVAL FACILITIES ENGINEERING FIE,NULL,2936936.0000,24
1993,Defense,Navy,ORG-2940,C8950,NAVAL FACILITIES ENGINEERING COM,NULL,2255017.0000,20
1993,Defense,Navy,ORG-2941,BS791,SUPERVISOR SHIPBUILDING CONVERSI,NULL,2492642.0000,27
1993,Defense,Navy,ORG-2941,BS870,DOD/DEPARTMENT OF THE NAVY,NULL,244089.0000,3
1994,Defense,Army,ORG-2757,CW25,USA ENGINEER DIST ROCK ISLAND,NULL,72882755.0000,292
1994,Defense,Army,ORG-2757,CW57,USA ENGINEER DISTRICT PORTLAND,NULL,48879450.0000,259
1994,Defense,Army,ORG-2757,CW65,USA ENGINEER DISTRICT NORFOLK,NULL,28793309.0000,96
1994,Defense,Army,ORG-2757,CW67,USA ENGINEER DISTRICT SEATTLE,NULL,40024872.0000,138
1994,Defense,Army,ORG-2757,CW69,USA ENGINEER DISTRICT HUNTINGTON,NULL,92344229.0000,535
1994,Defense,Army,ORG-2757,CW87,USA ENGINEER DIV HUNTSVILLE,NULL,5020005.0000,52
1994,Defense,Navy,ORG-2936,AA436,NAVAL AIR SYSTEMS COMMAND,NULL,232391095.0000,6
1994,Defense,Navy,ORG-2936,AC524,NAVAL AIR SYSTEMS COMMAND,NULL,343437512.0000,29
1994,Defense,Navy,ORG-2936,AC5M0,NAVAL AIR SYSTEMS COMMAND,NULL,173673746.0000,18
1994,Defense,Navy,ORG-2936,AD000,NAVAL AIR SYSTEMS COMMAND,NULL,215886589.0000,581
1994,Defense,Navy,ORG-2936,AM622,NAVAL AIR SYSTEMS COMMAND,NULL,60563555.0000,12
1994,Defense,Navy,ORG-2937,PB610,NAVAL AVIATION ENGINEERING SERVI,NULL,24035131.0000,175
1994,Defense,Navy,ORG-2937,QA601,DOD/DEPARTMENT OF THE NAVY,NULL,1065235.0000,8
1994,Defense,Navy,ORG-2937,QK501,NAVAL SUPPORT OFFICE MONTERAY BA,NULL,1478180.0000,40
1994,Defense,Navy,ORG-2937,QK704,NAVAL RESERVE OFFICERS TRAINING,NULL,67664.0000,1
1994,Defense,Navy,ORG-2937,RA900,FITTING OUT & SUPPLY SUPPORT ASS,NULL,14879793.0000,222
1994,Defense,Navy,ORG-2937,RG524,NAVAL AMPHIBIOUS BASE LITTLE CRE,NULL,397525.0000,7
1994,Defense,Navy,ORG-2937,RG601,NAVAL RESERVE CARGO HANDLING TRA,NULL,174263.0000,4
1994,Defense,Navy,ORG-2937,RG632,NAVAL BASE,NULL,34124.0000,1
1994,Defense,Navy,ORG-2937,RN502,NAVAL HEALTH SCIENCES EDUCATION,NULL,10210448.0000,92
1994,Defense,Navy,ORG-2937,RX460,NAVAL MEDIA CENTER ANACOSTIA,NULL,5990135.0000,7
1994,Defense,Navy,ORG-2937,TN519,NAVAL HOSPITAL,NULL,5568059.0000,4
1994,Defense,Navy,ORG-2937,WT630,DOD/DEPARTMENT OF THE NAVY,NULL,12216297.0000,47
1994,Defense,Navy,ORG-2939,G2383,MILITARY SEALIFT COMMAND,NULL,27812795.0000,159
1994,Defense,Navy,ORG-2940,C0025,NAVAL FACILITIES ENGINEERING COM,NULL,611805.0000,5
1994,Defense,Navy,ORG-2940,C2467,NAVAL FACILITIES ENGINEERING COM,NULL,656720792.0000,1618
1994,Defense,Navy,ORG-2940,C2766,NAVAL FACILITIES ENGINEERING COM,NULL,162311271.0000,342
1994,Defense,Navy,ORG-2940,C8378,NAVY PUBLIC WORKS CENTER,NULL,61224027.0000,233
1994,Defense,Navy,ORG-2940,C8950,NAVAL FACILITIES ENGINEERING COM,NULL,67209724.0000,282
1994,Defense,Navy,ORG-2941,BD302,DEFENSE CONTRACT MANAGEMENT AREA,NULL,1670780.0000,6
1994,Defense,Navy,ORG-2941,BN536,DEFENSE PLANT REPRESENTATIVE OFF,NULL,17702808.0000,15
1994,Defense,Navy,ORG-2941,BN543,"DEFENSE PLANT MANAGEMENT OFFICE,",NULL,206500.0000,1
1994,Defense,Navy,ORG-2943,F0264,MARINE CORPS COMBAT DEVELOPMENT,NULL,20791630.0000,91
1994,Defense,Navy,ORG-2943,F9999,MARINE CORPS SYSTEMS COMMAND,NULL,196934664.0000,331
1994,Defense,Navy,ORG-2945,E3240,DOD/DEPARTMENT OF THE NAVY,NULL,86241906.0000,419
1994,Other Agencies,NULL,NULL,NULL,NULL,NULL,802213814.0000,9703
1995,Defense,Army,ORG-2757,CW01,USA ENGINEER DIST MOBILE,NULL,132896864.0000,449
1995,Defense,Army,ORG-2757,CW03,USA ENGINEER DIST LITTLE ROCK,NULL,14207161.0000,177
1995,Defense,Army,ORG-2757,CW25,USA ENGINEER DIST ROCK ISLAND,NULL,71154242.0000,250
1995,Defense,Army,ORG-2757,CW35,USA ENGINEER DISTRICT DETROIT,NULL,27907930.0000,224
1995,Defense,Army,ORG-2757,CW51,USA ENGINEER DISTRICT NEW YORK,NULL,26384595.0000,160
1995,Defense,Army,ORG-2757,CW67,USA ENGINEER DISTRICT SEATTLE,NULL,23293260.0000,111
1995,Defense,Army,ORG-2757,CW69,USA ENGINEER DISTRICT HUNTINGTON,NULL,107632025.0000,462
1995,Defense,Army,ORG-2757,CW72,HUMPHREY ENGINEER SUPT ACTY CTR,NULL,13785259.0000,81
1995,Defense,Army,ORG-2757,CW87,USA ENGINEER DIV HUNTSVILLE,NULL,2204021.0000,34
1995,Defense,Army,ORG-2872,CA85,"USA ENGINEER DISTRICT, ALASKA",NULL,153957457.0000,513
1995,Defense,Army,ORG-2877,AE20,TACOM ROCK ISLAND,NULL,424868664.0000,586
1995,Defense,Navy,NULL,NULL,NULL,NULL,4803509647.0000,19372
1995,Defense,Navy,ORG-2936,A8006,DOD/DEPARTMENT OF THE NAVY,NULL,9641223.0000,11
1996,Defense,Navy,ORG-2937,TE201,NAVAL CONSTRUCTION BATTALION CEN,NULL,2903860.0000,34
1996,Defense,Navy,ORG-2937,UH30A,U.S.NAVEL REGIONAL CONTRACTING,NULL,1483206.0000,5
1996,Defense,Navy,ORG-2937,VA10A,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,107167175.0000,1156
1996,Defense,Navy,ORG-2937,VK810,NAVAL RESERVE OFFICERS TRAINING,NULL,264540.0000,2
1996,Defense,Navy,ORG-2937,VK815,NAVAL RESERVE OFFICERS TRAINING,NULL,58500.0000,2
1996,Defense,Navy,ORG-2937,WA30F,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,14986041.0000,55
1996,Defense,Navy,ORG-2937,WA30G,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,16854584.0000,92
1996,Defense,Navy,ORG-2937,WA40C,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,370041.0000,9
1996,Defense,Navy,ORG-2937,WA50N,DOD/DEPARTMENT OF THE NAVY,NULL,4886607.0000,5
1996,Defense,Navy,ORG-2937,WK201,NAVAL AIR STATION,NULL,1771070.0000,38
1996,Defense,Navy,ORG-2937,WX804,DOD/DEPARTMENT OF THE NAVY,NULL,11227371.0000,87
1996,Defense,Navy,ORG-2937,WX807,DOD/DEPARTMENT OF THE NAVY,NULL,1198465.0000,13
1996,Defense,Navy,ORG-2940,C2836,FAR EAST CONTRACTS OFFICE,NULL,163317550.0000,946
1996,Defense,Navy,ORG-2940,C5114,DOD/DEPARTMENT OF THE NAVY,NULL,44163393.0000,172
1996,Defense,Navy,ORG-2941,BP60A,NAVAL SHIPYARD PUGET SOUND,NULL,316313.0000,6
1996,Defense,Navy,ORG-2941,BW10A,"NAVAL SURFACE WARFARE CENTER, DA",NULL,21292521.0000,9
1996,Defense,Navy,ORG-2941,BW10B,"NAVAL SURFACE WARFARE CENTER, DA",NULL,85653655.0000,348
1996,Defense,Navy,ORG-2941,BW14A,"NAVAL SURFACE WARFARE CENTER, IN",NULL,161158543.0000,563
1996,Defense,Navy,ORG-2941,BW19C,DOD/DEPARTMENT OF THE NAVY,NULL,1487533.0000,29
1996,Defense,Navy,ORG-2941,BZ006,NAVAL SEA SYSTEMS COMMAND,NULL,832194236.0000,623
1996,Defense,Navy,ORG-2941,BZ009,NAVAL SEA SYSTEMS COMMAND,NULL,3096667.0000,52
1996,Defense,Navy,ORG-2942,XSP12,DEFENSE CONTRACT MANAGEMENT - GF,NULL,71600.0000,1
1996,Defense,Navy,ORG-2944,D0233,SPACE AND NAVAL WARFARE SYSTEMS,NULL,60713409.0000,74
1996,Defense,Navy,ORG-2944,D710F,SPACE AND NAVAL WARFARE SYSTEMS,NULL,37663045.0000,326
1996,Defense,Navy,ORG-2944,D910A,SPACE AND NAVAL WARFARE SYSTEMS,NULL,30158064.0000,344
1996,Defense,Navy,ORG-2945,E3410,NAVAL RESEARCH LABORATORY,NULL,20121057.0000,326
1997,Defense,Air Force,ORG-2825,GD50,OKLAHOMA CITY ALC/LID,NULL,222096151.0000,830
1997,Defense,Air Force,ORG-2825,GD70,OC-ALC/LCD (KC135),NULL,291692577.0000,132
1997,Defense,Air Force,ORG-2825,GS02,377 CONS/LGC,NULL,43611834.0000,382
1997,Defense,Air Force,ORG-2825,GU44,ASC/SDBK,NULL,218808944.0000,70
1997,Defense,Air Force,ORG-2825,GU50,ASC/CDSK,NULL,72435744.0000,297
1997,Defense,Air Force,ORG-2825,GU63,OL-YV ASC/YVK,NULL,130986719.0000,13
1997,Defense,Air Force,ORG-2825,GU86,ASC/YWK,NULL,204195885.0000,103
1997,Defense,Air Force,ORG-2825,GV01,ESC/PK  ELECTRONICS SYSTEM CTR,NULL,2324023.0000,2
1997,Defense,Air Force,ORG-2825,GV40,ESC/IYK,NULL,133586438.0000,292
1997,Defense,Air Force,ORG-2825,GW04,HSW/PKS,NULL,25638193.0000,95
1997,Defense,Air Force,ORG-2825,GY02,AEDC/PKP ENGINEERING DEVELOPMENT,NULL,49018915.0000,186
1997,Defense,Air Force,ORG-2834,GZ09,SMC/PKW,NULL,110414228.0000,75
1997,Defense,Air Force,ORG-2834,GZ39,SMC/PKZ DEFENSE SUPPORT SYSTEMS,NULL,398956975.0000,63
1997,Defense,Air Force,ORG-2834,GZ74,SMC/LRSW,NULL,886726396.0000,111
1997,Defense,Army,NULL,NULL,NULL,NULL,2435937694.0000,9139
1997,Defense,Army,ORG-2854,BT19,U.S. ARMY COMBINED ARMS CTR & FT,NULL,19114061.0000,194
1997,Defense,Army,ORG-2863,KF29,DIRECTORATE OF CONTRACTING,NULL,50583204.0000,426
1997,Defense,Army,ORG-2863,KF48,"HQ, III CORPS & FORT HOOD",NULL,112985918.0000,590
1997,Defense,Army,ORG-2863,KF57,DIRECTORATE OF CONTRACTING,NULL,72434722.0000,646
1997,Defense,Army,ORG-2869,HA05,USPFO FOR COLORADO,NULL,14311781.0000,73
1997,Defense,Army,ORG-2869,HA08,USPFO FOR FLORIDA,NULL,2749150.0000,32
1997,Defense,Army,ORG-2869,HA12,USPFO FOR INDIANA,NULL,7514229.0000,60
1997,Defense,Army,ORG-2869,HA14,USPFO FOR KANSAS,NULL,13981258.0000,112
1997,Defense,Army,ORG-2869,HA15,USPFO FOR KENTUCKY,NULL,1191960.0000,14
1997,Defense,Army,ORG-2869,HA26,USPFO FOR NEVADA,NULL,10263420.0000,39
1997,Defense,Army,ORG-2869,HA42,USPFO FOR UTAH,NULL,4198891.0000,35
1997,Defense,Army,ORG-2869,HA47,USPFO FOR WISCONSIN,NULL,11667720.0000,67
1997,Defense,Army,ORG-2869,HA70,USPFO FOR PUERTO RICO,NULL,3020582.0000,21
1997,Defense,Army,ORG-2872,CA31,"USA ENGINEER DISTRICT, BALTIMORE",NULL,279043678.0000,1760
1997,Defense,Army,ORG-2872,CA47,"USA ENGINEER DISTRICT,",NULL,65546652.0000,96
1997,Defense,Army,ORG-2872,CA62,"USA ENGINEER DISTRICT, NASHVILLE",NULL,8119768.0000,45
1997,Defense,Army,ORG-2872,CA83,"USA ENGINEER DISTRICT, HONOLULU",NULL,115604470.0000,435
1997,Defense,Army,ORG-2877,AA09,U.S. ARMY INDUSTRIAL OPERATIONS,NULL,1147212763.0000,895
1997,Defense,Army,ORG-2877,AB12,,NULL,-43593.0000,1
1995,Defense,Navy,ORG-2936,A8007,DOD/DEPARTMENT OF THE NAVY,NULL,24779621.0000,12
1995,Defense,Navy,ORG-2936,A8011,DOD/DEPARTMENT OF THE NAVY,NULL,6119287.0000,17
1995,Defense,Navy,ORG-2936,A8014,DOD/DEPARTMENT OF THE NAVY,NULL,3873716.0000,10
1995,Defense,Navy,ORG-2936,A8300,NAVAL AIR WARFARE CENTER TRAININ,NULL,166723221.0000,252
1995,Defense,Navy,ORG-2936,A8451,"NAVAL AIR WARFARE CENTER, WEAPON",NULL,173675065.0000,315
1995,Defense,Navy,ORG-2936,AA421,NAVAL AIR SYSTEMS COMMAND,NULL,14707475.0000,12
1995,Defense,Navy,ORG-2936,AC531,NAVAL AIR SYSTEMS COMMAND,NULL,1200000.0000,1
1995,Defense,Navy,ORG-2936,AC5M0,NAVAL AIR SYSTEMS COMMAND,NULL,346217941.0000,35
1995,Defense,Navy,ORG-2936,AD000,NAVAL AIR SYSTEMS COMMAND,NULL,383565864.0000,625
1995,Defense,Navy,ORG-2936,AM622,NAVAL AIR SYSTEMS COMMAND,NULL,80421783.0000,7
1995,Defense,Navy,ORG-2937,PB610,NAVAL AVIATION ENGINEERING SERVI,NULL,30183157.0000,278
1995,Defense,Navy,ORG-2937,PK625,NROTCU COLL OF THE HOLY CROSS,NULL,906172.0000,2
1995,Defense,Navy,ORG-2937,QK601,NAVAL RESERVE OFFICERS TRAINING,NULL,564427.0000,4
1995,Defense,Navy,ORG-2937,RA13A,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,764611258.0000,2443
