"SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","FiscalYear","Project.Title","BudgetMetric","OriginType","EnactedType","PBtotal","PBtype","EnactedTotal","Classified","ConstructionProjectTitle","ConstructionProject","ActualTotal"
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ADMIN BLDGS","KANDAHAR, AFGHANISTAN","2010","Command & Control Facility","TOAamount","Base",,,13500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","KANDAHAR, AFGHANISTAN","2010","Tanker Truck Off-Load Facility","TOAamount","Base",,,23000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ROADS","KANDAHAR, AFGHANISTAN","2010","South Park Roads","TOAamount","Base",,,11000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","POTABLE WATER SUPPLY, TREATMENT & STORAGE","KANDAHAR, AFGHANISTAN","2010","Utilities, Ph 2","TOAamount","Base",,,32000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ELECTRIC POWER SOURCE","KANDAHAR, AFGHANISTAN","2010","Waste Management Complex","TOAamount","Base",,,10000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","INSTALL & ORG COVERED STORAGE","KANDAHAR, AFGHANISTAN","2010","Warehouse","TOAamount","Base",,,20000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","TANK AND AUTOMOTIVE MAINTENANCE FACILITIES","KANDAHAR, AFGHANISTAN","2010","Theater Vehicle Maintenance Compound","TOAamount","Base",,,55000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","KANDAHAR, AFGHANISTAN","2010","Entry Control Point","TOAamount","Base",,,12800,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","KANDAHAR, AFGHANISTAN","2010","Perimeter Fence and Guard Towers, Ph 2","TOAamount","Base",,,10400,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","SEWAGE & INDUSTRIAL WASTE TREATMENT & DISPOSAL","KANDAHAR, AFGHANISTAN","2010","Waste Water Treatment Facility","TOAamount","Base",,,4300,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","GHAZNI, AFGHANISTAN","2010","Waste Management Complex","TOAamount","Base",,,5500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","BAGRAM AIR BASE, AFGHANISTAN","2010","Fuel System Ph 6","TOAamount","Base",,,12000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","OPERATIONAL SUPPORT BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Fuel System Ph 7","TOAamount","Base",,,5000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Coalition Operation Center","TOAamount","Base",,,49000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","BAGRAM AIR BASE, AFGHANISTAN","2010","Barracks","TOAamount","Base",,,18500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","DEPOT & ARSENAL COVERED STORAGE","BAGRAM AIR BASE, AFGHANISTAN","2010","APS Compound","TOAamount","Base",,,38000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","BAGRAM AIR BASE, AFGHANISTAN","2010","Perimeter Fence and Guard Towers","TOAamount","Base",,,7000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Aviation Support Facility","TOAamount","Base",,,2600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Command and Control Facility","TOAamount","Base",,,38000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","OTHER OPERATIONAL","BAGRAM AIR BASE, AFGHANISTAN","2010","Drainage System, Ph 2","TOAamount","Base",,,21000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ROADS","BAGRAM AIR BASE, AFGHANISTAN","2010","Access Roads","TOAamount","Base",,,21000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Command & Control Facility","TOAamount","Base",,,4500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","MedLog Warehouse","TOAamount","Base",,,3350,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","KABUL, AFGHANISTAN","2010","USFOR-A Headquarters & Housing","TOAamount","Base",,,98000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","KABUL, AFGHANISTAN","2010","Camp Phoenix Western Expansion","TOAamount","Base",,,39000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","INSTALL & READY-ISSUE AMMUNITION STORAGE","TOMBSTONE/BASTION","2010","Basic Load Ammunition Holding Area","TOAamount","Base",,,7500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","TOMBSTONE/BASTION","2010","DINING FACILITY","TOAamount","Base",,,8900,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","OTHER OPERATIONAL","TOMBSTONE/BASTION","2010","Entry Control Point and Access Roads","TOAamount","Base",,,14200,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","TOMBSTONE/BASTION","2010","Fuel System, Ph 2","TOAamount","Base",,,14200,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ROADS","TOMBSTONE/BASTION","2010","Roads","TOAamount","Base",,,4300,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","MEDICAL CENTERS & HOSPITALS","TOMBSTONE/BASTION","2010","Level 3 Medical Facility","TOAamount","Base",,,16500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","POTABLE WATER SUPPLY, TREATMENT & STORAGE","TOMBSTONE/BASTION","2010","Water Supply and Distribution System","TOAamount","Base",,,6200,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ADMIN BLDGS","TOMBSTONE/BASTION","2010","Command & Control HQ Facility","TOAamount","Base",,,24000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","SEWAGE & INDUSTRIAL WASTE COLLECTION LINES","TOMBSTONE/BASTION","2010","Utilities Infrastructure","TOAamount","Base",,,21000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ROADS","TOMBSTONE/BASTION","2010","Gravel Roads","TOAamount","Base",,,8600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD APRONS","SHARANA","2010","Rotary-Wing Parking","TOAamount","Base",,,32000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","DEPOT & ARSENAL AMMUNITION STORAGE","SHARANA","2010","Ammunition Supply Point","TOAamount","Base",,,14000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ADMIN BLDGS","SHARANA","2010","Aircraft Maintenance Facility","TOAamount","Base",,,12200,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ELECTRIC POWER SOURCE","SHARANA","2010","Electrical Distribution Grid","TOAamount","Base",,,2600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","SHANK","2010","DINING FACILITY","TOAamount","Base",,,4350,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ELECTRIC POWER SOURCE","SHANK","2010","Electrical Distribution Grid","TOAamount","Base",,,4600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","SHANK","2010","Waste Management Complex","TOAamount","Base",,,8100,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","POTABLE WATER SUPPLY, TREATMENT & STORAGE","SHANK","2010","Water Distribution System","TOAamount","Base",,,2650,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ADMIN BLDGS","MAYWAND","2010","Dining Facility","TOAamount","Base",,,2200,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","MAYWAND","2010","Waste Management Area","TOAamount","Base",,,5600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","JOYCE","2010","Dining Facilty","TOAamount","Base",,,2100,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","JOYCE","2010","Waste Management Area","TOAamount","Base",,,5600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","ALTIMUR","2010","DINING FACILITY","TOAamount","Base",,,2150,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","ALTIMUR","2010","Waste Management Area","TOAamount","Base",,,5600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","TARIN KOWT","2010","DINING FACILITY","TOAamount","Base",,,2200,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","TARIN KOWT","2010","Fuel System, Ph 2","TOAamount","Base",,,11800,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","TARIN KOWT","2010","Waste Management Area","TOAamount","Base",,,6800,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","DEPOT & ARSENAL AMMUNITION STORAGE","TARIN KOWT","2010","Ammunition Supply Point","TOAamount","Base",,,35000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","AIRBORNE","2010","Dining Facility","TOAamount","Base",,,2200,,,,,
