"Output","Model","Variable","Odds Ratio","Lower Bound","Upper Bound"
"Terminations","Federal","No Comp., Urgency",0.79,0.6,1.04
"Terminations","Federal","No Comp., Other",0.69,0.64,0.74
"Terminations","Federal","Comp. w/ 1 Offer",0.7,0.65,0.76
"Terminations","Federal","Comp. w/ 5+ Offers",1.28,1.21,1.37
"Terminations","Federal","Cont. Office Crisis %",1.06,0.99,1.12
"Terminations","Federal","Cont. Office 1-50% Intl",1.12,0.97,1.28
"Terminations","Federal","Cont. Office 50%+ Intl.",0.6,0.4,0.9
"Terminations","Federal","UCA",2.16,1.81,2.58
"Terminations","Federal","Crisis=Recovery Act",0.79,0.52,1.21
"Terminations","Federal","Crisis=Disaster",1.46,0.88,2.44
"Terminations","Federal","Crisis=OCO",1.08,0.84,1.39
"Terminations","Crisis","No Comp., Urgency",1.19,0.89,1.59
"Terminations","Crisis","No Comp., Other",0.57,0.5,0.66
"Terminations","Crisis","Comp. w/ 1 Offer",0.65,0.57,0.74
"Terminations","Crisis","Comp. w/ 5+ Offers",1.05,0.95,1.15
"Terminations","Crisis","Cont. Office Crisis %",1.07,1.01,1.13
"Terminations","Crisis","Cont. Office 1-50% Intl",0.92,0.49,1.73
"Terminations","Crisis","Cont. Office 50%+ Intl.",0.61,0.35,1.05
"Terminations","Crisis","UCA",1,0.66,1.51
"Terminations","Crisis","Crisis=Recovery Act",0.92,0.73,1.16
"Terminations","Crisis","Crisis=Disaster",0.94,0.72,1.21
