"","ProductOrServiceArea","ProductOrServiceCode","ProductOrServiceCodeText","Total","OCO","MinOfTotalFiscalYear","MaxOfTotalFiscalYear","MinOfOCOfiscalYear","MaxOfOCOfiscalYear","OCOrate"
"73","Clothing & Subsistence","8475","SPEC FLIGHT CLOTHING & ACCESSORIES",0.843126685594931,0.00060280379086029,2000,2016,2005,2015,0.000714962295891438
"74","Clothing & Subsistence","8510","PERFUME,TOILET PREPARATION & POWDER",0.10588675353773,-8.22187682553884e-06,2000,2016,2012,2015,-7.76478317716027e-05
"75","Clothing & Subsistence","8520","TOILET SOAP, SHAVING PREPARATIONS, AND DENTIFRICES",0.528279008042427,0.000137708241882441,2000,2016,2006,2015,0.000260673318049732
"76","Clothing & Subsistence","8530","PERSONAL TOILETRY ARTICLES",0.0874721628496142,0.000443200933481016,2000,2016,2003,2016,0.00506676546049267
"77","Clothing & Subsistence","8540","TOILETRY PAPER PRODUCTS",0.700885881740599,0.000510695419494209,2000,2016,2006,2016,0.000728642754546482
"78","Clothing & Subsistence","87","AGRICULTURAL SUPPLIES",3.954032728962e-07,0,2005,2005,NA,NA,0
"79","Clothing & Subsistence","8710","FORAGE AND FEED",1.14752928834237,0.0265176399472696,2000,2016,2003,2016,0.0231084646088423
"80","Clothing & Subsistence","8810","LIVE ANIMALS, RAISED FOR FOOD",0.00718576292887661,6.0312e-06,2002,2016,2015,2015,0.00083932632619469
"81","Clothing & Subsistence","89","SUBSISTENCE",4.33650125224755e-05,0,2004,2004,NA,NA,0
"82","Clothing & Subsistence","8900","PERISHABLE SUBSISTENCE $10K TO $25K",0.340464594386693,0.00194665640870777,2000,2014,2007,2011,0.00571764712337987
"83","Clothing & Subsistence","8905","MEAT, POULTRY, AND FISH",21.8319916540865,0.00948319319520669,2000,2016,2006,2016,0.000434371419037788
"84","Clothing & Subsistence","8910","DAIRY FOODS AND EGGS",41.780007621091,0.00161489507554065,2000,2016,2001,2016,3.8652340377397e-05
"85","Clothing & Subsistence","8915","FRUITS AND VEGETABLES",19.7726065356205,0.0130874203563895,2000,2016,2005,2016,0.000661896565473671
"86","Clothing & Subsistence","8920","BAKERY AND CEREAL PRODUCTS",10.0268155976194,0.0116527706557721,2000,2016,2003,2016,0.00116216066230826
"87","Clothing & Subsistence","8925","SUGAR, CONFECTIONERY, AND NUTS",1.59828920938276,0.000350304294878482,2000,2016,2005,2016,0.000219174535385724
"88","Clothing & Subsistence","8930","JAMS, JELLIES, AND PRESERVES",0.420522851907332,0.000725855705664263,2000,2016,2010,2016,0.00172607909979697
"89","Clothing & Subsistence","8935","SOUPS AND BOUILLONS",0.434574756666124,0,2001,2016,NA,NA,0
"90","Clothing & Subsistence","8940","SPECIAL DIETARY FOOD & SPECIAL PREP",3.281593012132,0.000623323294339045,2000,2016,2007,2016,0.000189945338143587
"91","Clothing & Subsistence","8945","FOOD, OILS AND FATS",10.5913837270521,0.0586008457229151,2000,2016,2003,2016,0.00553287910561103
"92","Clothing & Subsistence","8950","CONDIMENTS AND RELATED PRODUCTS",0.844472513429454,0.00308261451806637,2000,2016,2004,2009,0.003650343224965
"93","Clothing & Subsistence","8955","COFFEE, TEA, AND COCOA",0.253246146880032,0.0021889692060428,2000,2016,2007,2015,0.0086436426891808
"94","Clothing & Subsistence","8960","BEVERAGES, NONALCOHOLIC",3.37330200821102,0.248705925320328,2000,2016,2001,2016,0.0737277376039702
"95","Clothing & Subsistence","8965","BEVERAGES, ALCOHOLIC",0.0528193021719671,0,2001,2016,2012,2016,0
"96","Clothing & Subsistence","8970","COMPOSITE FOOD PACKAGES",5.53732034525969,0.00575621483426679,2000,2016,2004,2016,0.00103953076133558
"97","Clothing & Subsistence","8975","TOBACCO PRODUCTS",0.413275709135145,0,2000,2016,NA,NA,0
"98","Clothing & Subsistence","8999","FOOD ITEMS FOR RESALE",25.6692490839023,0.015522037878538,2000,2016,2003,2011,0.000604693882076673
"99","Clothing & Subsistence","9910","JEWELRY",0.0701740162126462,6.43498224606933e-05,2000,2016,2007,2015,0.00091700355678227
"100","Electronics & Communications","5805","TELEPHONE AND TELEGRAPH EQUIPMENT",8.5353333959657,0.0291249091745209,2000,2016,2003,2016,0.00341227551676974
"101","Electronics & Communications","5810","COMM SECURITY EQ & COMPS",16.338311159704,0.0708568256912907,2000,2016,2003,2016,0.0043368512815479
"102","Electronics & Communications","5811","OTHER CRYPTOLOGIC EQ & COMPONENTS",1.43799867830172,0.00769541037459537,2000,2016,2005,2014,0.005351472494873
"103","Electronics & Communications","5815","TELETYPE AND FACSIMILE EQUIPMENT",0.094098651368156,0.00118083209856348,2000,2016,2005,2015,0.0125488737765597
"104","Electronics & Communications","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",26.8848270176513,0.0798176788405754,2000,2016,2003,2016,0.00296887455471337
"105","Electronics & Communications","5825","RADIO NAVIGATION EQ - EXCEPT AIR",7.09070121528889,0.274311145566334,2000,2016,2004,2015,0.0386860392558732
"106","Electronics & Communications","5830","INTERCOMM PUBLIC ADDRESS SYS EX AIR",0.774516721435824,0.00131121480324539,2000,2016,2008,2016,0.00169294576470166
"107","Electronics & Communications","5835","SOUND RECORDING & REPRODUCING EQ",0.544745650124713,0.000411546272067714,2000,2016,2006,2016,0.000755483356266352
"108","Electronics & Communications","5836","VIDEO RECORDING AND REPRODUCING EQU",1.7652209491803,0.00975113903285912,2000,2016,2003,2016,0.00552403314575843
"109","Electronics & Communications","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE",17.8685976922061,0.102489416957788,2000,2016,2003,2016,0.00573572804778588
"110","Electronics & Communications","5845","UNDERWATER SOUND EQUIPMENT",4.68782389274929,0.0015228223909234,2000,2016,2007,2016,0.000324846330784475
"111","Electronics & Communications","5850","VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT",0.956090343892166,2.66534012270889e-05,2000,2016,2012,2013,2.78774923283767e-05
"112","Electronics & Communications","5855","NIGHT VISION EQ",17.9836051177417,0.1754597389231,2000,2016,2003,2016,0.00975664989162823
"113","Electronics & Communications","5860","STIMULATED COHERENT RADIATION DEV",0.875761969726418,0.000204943168138248,2000,2016,2006,2016,0.000234016976327792
"114","Electronics & Communications","5865","ELEC COUNTERMEASURE & QUICK REAC EQ",32.1357410985853,1.27371416067671,2000,2016,2005,2016,0.03963543758861
"115","Electronics & Communications","5895","MISC COMMUNICATION EQ",49.3800408658703,0.237763946313428,2000,2016,2003,2016,0.00481498075222861
"116","Electronics & Communications","59","ELECTRICAL/ELECTRONIC EQPT COMPNTS",0.000788454773135918,0,2004,2008,NA,NA,0
"117","Electronics & Communications","5905","RESISTORS",0.438913697817082,0.000569041401361829,2000,2016,2006,2016,0.00129647674290397
"118","Electronics & Communications","5910","CAPACITORS",0.136981369539659,0.000121000202036944,2000,2016,2008,2016,0.000883333276952764
"119","Electronics & Communications","5915","FILTERS AND NETWORKS",0.482599354512442,0.00330966488352613,2000,2016,2006,2016,0.00685799691313262
"120","Electronics & Communications","5920","FUSES ARRESTERS ABORBERS & PROTECTO",0.139364063182688,0.00103769012193786,2000,2016,2005,2016,0.00744589457454019
"121","Electronics & Communications","5925","CIRCUIT BREAKERS",0.620604573967877,0.00419741997349846,2000,2016,2007,2016,0.00676343705729072
"122","Electronics & Communications","5930","SWITCHES",2.1890237188504,0.00230685464910742,2000,2016,2005,2016,0.00105382807378574
"123","Electronics & Communications","5935","CONNECTORS, ELECTRICAL",1.47569161183399,0.00150002472166488,2000,2016,2006,2016,0.0010164892919603
"124","Electronics & Communications","5940","LUGS TERMINALS & TERMINAL STRIPS",0.203322847090591,4.36908374185151e-05,2000,2016,2006,2016,0.000214884052843548
"125","Electronics & Communications","5945","RELAYS AND SOLENOIDS",0.936770361850822,0.000364981879007249,2000,2016,2004,2014,0.000389617235846507
"126","Electronics & Communications","5950","COILS AND TRANSFORMERS",0.540318729252747,0.000626392178130761,2000,2016,2006,2016,0.00115930124983277
"127","Electronics & Communications","5955","OSCILLATORS AND PIEZOELECTRIC CRYSTALS",0.159387446771356,8.23805990473909e-06,2000,2016,2010,2014,5.1685751115373e-05
"128","Electronics & Communications","5960","ELECTRON TUBES & ASSOC HARDWARE",2.3055365741709,0.000964100265172644,2000,2016,2003,2016,0.000418167413162529
"129","Electronics & Communications","5961","SEMI CONDUCTOR DEVICES",0.426808593754533,0.000117643765630182,2000,2016,2005,2016,0.000275635887729667
"130","Electronics & Communications","5962","MICROCIRCUITS, ELECTRONIC",0.784877568218119,0.000199275073799568,2000,2016,2007,2016,0.000253893195408776
"131","Electronics & Communications","5963","ELECTRONIC MODULES",0.924143241835743,0.00916222480190389,2000,2016,2006,2016,0.00991429075832855
"132","Electronics & Communications","5965","HEADSET,HANDSET,MICROPHONE & SPEAK",2.53320359470644,0.00257265662641636,2000,2016,2005,2016,0.00101557436275251
"133","Electronics & Communications","5970","ELECT INSULATORS & INSULATING MAT",0.174367435513705,0.000983605787356458,2000,2016,2007,2016,0.00564099474456714
"134","Electronics & Communications","5975","ELECTRICAL HARDWARE AND SUPPLIES",3.52052283465725,0.018049259702437,2000,2016,2004,2016,0.00512686909022541
"135","Electronics & Communications","5977","ELECT CONTACT BRUSHES & ELECTRODES",0.219042077344273,1.37976812783789e-05,2000,2016,2007,2012,6.29910081463153e-05
"136","Electronics & Communications","5980","OPTOELECTRICAL DEVICES/ASSOC HARDWA",0.654734533638661,0.00102921588788687,2000,2016,2006,2016,0.00157195906891766
"137","Electronics & Communications","5985","ANTENNAS WAVEGUIDES & RELATED EQ",6.75076981857696,0.0148752606354864,2000,2016,2004,2016,0.00220349101439547
"138","Electronics & Communications","5990","SYNCHROS AND RESOLVERS",0.187667754290435,0.000998753309762115,2000,2016,2004,2015,0.00532192284997689
"139","Electronics & Communications","5995","CABLE CORD WIRE ASSEMBLY - COMM EQ",4.08944539225966,0.00731873450485916,2000,2016,2004,2016,0.00178966431944825
"140","Electronics & Communications","5996","AMPLIFIERS",1.21944278547779,0.00122134702196579,2000,2016,2006,2016,0.00100156156279793
"141","Electronics & Communications","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",10.295522039836,0.0103186802763185,2000,2016,2006,2016,0.00100224935038679
"142","Electronics & Communications","5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",13.0079417783994,0.361749503764628,2000,2016,2004,2016,0.0278098956719915
"143","Electronics & Communications","6004","ROTARY JOINTS",0.00165504947654717,0,2000,2016,NA,NA,0
"144","Electronics & Communications","6005","COUPLERS, SPLITTERS, & MIXERS",0.00180485732018415,0,2002,2014,NA,NA,0
"145","Electronics & Communications","6006","ATTENUATORS",0.00103154445505452,1.37835455688753e-05,2005,2011,2010,2010,0.0133620470754668
"146","Electronics & Communications","6007","FILTERS",0.0183856771914393,9.20374940091131e-05,2001,2016,2011,2012,0.00500593440485114
"147","Electronics & Communications","6008","OPTICAL MULTIPLEXERS/DEMULTIPLEXERS",0.007439483852207,9.3187374220856e-06,2001,2016,2010,2010,0.00125260536983639
"148","Electronics & Communications","6010","FIBER OPTIC CONDUCTORS",0.0557607203475298,0.000125139766498111,2000,2016,2005,2009,0.00224422793891783
"149","Electronics & Communications","6015","FIBER OPTIC CABLES",0.575190408005727,0.00567803107008836,2000,2016,2005,2016,0.00987156772967576
"150","Electronics & Communications","6020","FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES",0.172890946571848,8.3196595226871e-05,2000,2016,2006,2016,0.00048120851251339
"151","Electronics & Communications","6021","FIBER OPTIC SWITCHES",0.123935502086068,0.000163191456683796,2000,2016,2005,2015,0.00131674503218994
"152","Electronics & Communications","6025","FIBER OPTIC TRANSMITTERS",0.00513897417492629,7.30335150413966e-05,2001,2016,2011,2011,0.0142116913911995
"153","Electronics & Communications","6026","FIBER OPTIC RECEIVERS",0.00209975024992993,0,2000,2011,NA,NA,0
"154","Electronics & Communications","6029","FIBER OPTIC REPEATERS",0.000366624405537684,0,2000,2008,NA,NA,0
"155","Electronics & Communications","6030","FIBER OPTIC DEVICES",0.184628449565597,0.00103316591816014,2000,2016,2004,2016,0.00559591937532394
"156","Electronics & Communications","6031","INTEGRATED OPTICAL CIRCUITS",0.00301128676906141,0,2003,2015,NA,NA,0
"157","Electronics & Communications","6032","FIBER OPTIC LIGHT SOURCES",0.0384470958309115,6.03638467116881e-05,2002,2016,2009,2010,0.00157004958130428
"158","Electronics & Communications","6033","FIBER OPTIC PHOTO DETECTORS",0.00139074052367565,0,2001,2011,NA,NA,0
"159","Electronics & Communications","6034","FIBER OPTIC MOD/DEMODULATORS",0.00133745374510915,0,2003,2016,NA,NA,0
"160","Electronics & Communications","6035","FIBER OPTIC LIGHT TRANSFER AND IMAGE TRANSFER DEVICES",0.0107252994465392,2.9396368266282e-05,2000,2016,2006,2006,0.00274084359255514
"161","Electronics & Communications","6040","FIBER OPTIC SENSORS",0.130734303593469,0,2001,2016,2009,2009,0
"162","Electronics & Communications","6050","FIBER OPTIC PASSIVE DEVICES",0.00506884742276285,0,2001,2011,NA,NA,0
"163","Electronics & Communications","6060","FIBER OPTIC INTERCONNECTORS",0.0290285142327649,8.00261813969689e-05,2000,2016,2012,2013,0.00275681286183922
"164","Electronics & Communications","6070","FIBER OPTIC ACCESSORIES & SUPPLIES",0.0479800050651639,0.000670546616080947,2000,2016,2006,2016,0.013975542836443
"165","Electronics & Communications","6080","FIBER OPTIC KITS AND SETS",0.0442185252847115,0.000589615484452215,2000,2016,2012,2016,0.0133341281884874
"166","Electronics & Communications","6099","MISC FIBER OPTIC COMPONENTS",0.216866531957046,0.0144205239473825,2000,2016,2006,2016,0.0664949257833787
"167","Electronics & Communications","6145","WIRE AND CABLE, ELECTRICAL",0.949155700800182,0.0358483284811989,2000,2016,2006,2016,0.0377686489697919
"168","Electronics & Communications","6150","MISC ELECTRIC POWER & DISTRIB EQ",4.08320071946768,0.0145711250244145,2000,2016,2004,2016,0.00356855467695795
"169","Electronics & Communications","6160","MISC BATTERY RET FIXTURES & LINERS",0.140039134118107,2.87318333351232e-05,2000,2016,2007,2016,0.00020517002990672
"170","Electronics & Communications","62","LIGHTING FIXTURES, LAMPS",1.34581019755353e-05,0,2005,2005,NA,NA,0
"171","Electronics & Communications","6210","INDOOR & OUTDOOR ELEC LIGHTING FIXT",0.638738575117893,0.00752880035093356,2000,2016,2004,2016,0.0117869824122396
"172","Electronics & Communications","6220","ELEC VEHICULAR LIGHTS & FIXTURES",1.18306781874624,0.00190732163753772,2000,2016,2007,2016,0.00161218284135139
"173","Electronics & Communications","6230","ELEC PORTABLE & HAND LIGHTING EQ",0.640385494910406,0.00239081295309303,2000,2016,2003,2016,0.00373339648086115
"174","Electronics & Communications","6240","ELECTRIC LAMPS",0.336617692235081,0.000423729863082172,2000,2016,2007,2015,0.00125878666765458
"175","Electronics & Communications","6250","BALLASTS, LAMPHOLDERS, AND STARTERS",0.0547475463274214,7.25855334969063e-05,2000,2016,2009,2012,0.00132582258687547
"176","Electronics & Communications","6260","NONELECTRICAL LIGHTING FIXTURES",0.112795757056448,0.00483052471961746,2000,2016,2008,2015,0.0428254115728845
"177","Electronics & Communications","63","ALARM, SIGNAL, SECURITY DETECTION",0.000130685061159215,0,2005,2005,NA,NA,0
"178","Electronics & Communications","6310","TRAFFIC AND TRANSIT SIGNAL SYSTEMS",0.046863695474469,0.000365235545541016,2000,2016,2006,2015,0.00779357116085721
"179","Electronics & Communications","6330","RAILROAD SIGNAL AND WARNING DEVICES",0.00776252506892965,0,2000,2016,NA,NA,0
"180","Electronics & Communications","6350","MISC ALARM, SIGNAL, SEC SYSTEMS",10.239246946255,0.0484694508843098,2000,2016,2003,2016,0.00473369293061515
"181","Electronics & Communications","70","ADP EQPT/SOFTWARE/SUPPLIES AND EQPT",0.000208159564802962,0,2004,2005,NA,NA,0
"182","Electronics & Communications","7010","ADPE SYSTEM CONFIGURATION",43.1473817858365,0.0914347892446342,2000,2016,2003,2016,0.00211912717435496
"183","Electronics & Communications","7020","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), ANALOG",2.32432706138292,0.0220615107215796,2000,2016,2004,2016,0.00949156901716472
"184","Electronics & Communications","7021","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL",12.0422880268105,0.415024175960717,2000,2016,2003,2016,0.0344638971461837
"185","Electronics & Communications","7022","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), HYBRID",2.83756732342688,0.00787096211927063,2000,2016,2003,2016,0.00277384154176296
"186","Electronics & Communications","7025","ADP INPUT/OUTPUT & STORAGE DEVICES",16.398508300618,0.0624793757289306,2000,2016,2003,2016,0.00381006458536085
"187","Electronics & Communications","7030","ADP SOFTWARE",64.2553972704016,0.232580183366318,2000,2016,2003,2016,0.00361962096954387
"188","Electronics & Communications","7035","ADP SUPPORT EQUIPMENT",21.0218903524913,0.0747795690380266,2000,2016,2004,2016,0.0035572238168945
"189","Electronics & Communications","7040","PUNCHED CARD EQUIPMENT",0.0756706298614818,0.000193403671995415,2000,2016,2011,2015,0.00255586179670301
