"","Fiscal.Year","SimpleArea","ProductOrServiceArea","Customer","ContractingSubCustomer","ContractingOfficeID","PlaceCountryText","CrisisFundingTheater","VendorPlaceType","Vendor.Size","UnmodifiedUltimateDurationCategory","OMBagencyName","OMBbureauName","treasuryagencycode","mainaccountcode","isUndefinitizedAction","OCOcrisisScore","CompetitionClassification","IsUrgency","ClassifyNumberOfOffers","IsOMBocoList","PSCOCOcrisisScore","OfficeOCOcrisisScore","MajorCommandID","IsMultipleYearProcRnD","isforeign","ContractCrisisFunding","nationalinterestactioncode","CrisisFunding","localareasetaside","ContingencyHumanitarianPeacekeepingOperation","ConHumIsOCOcrisisFunding","CCRexception","IsOCOcrisisFunding","IsARRAcrisisFunding","DecisionTree","DecisionTreeStep4","pscOCOcrisisPoint","FundingAccountOCOpoint","OfficeOCOcrisisPoint","PercentFundingAccountOCO","OfficeOCOcrisisPercentSqrt","pscOCOcrisisPercentSqrt","Action.Obligation.Then.Year","numberOfActions","CrisisFundingLegacy","Theater","International","contingencyhumanitarianpeacekeepingoperationText","CHPKisCrisisFunding","ProductServiceOrRnDarea.sum","Is.Defense","nationalinterestactioncodeText","IsHurricane","NIAcrisisFunding","SubCustomer","SAMexceptionText","SAMexception.sum","SAMcrisisFunding","SubCustomer.detail","No.Competition.Offer","Dur.Simple","Obligation.2017","NoCompOffr","dFYear","NIAlist","CrisisFunding1A","CrisisFunding1B","CrisisFunding1C","CrisisFunding2","CrisisFunding3","CrisisFunding4A","CrisisFunding4B","MultipleYearProcRnD"
"1996",2004,"Products","Ground Vehicles","Defense","DLA","0700","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Full Competition (Multiple Offers)",NA,"5-9 Offers",0,0,-1,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.16,31970,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","DLA","Unlabeled","No Exception",NA,"DLA","5+ Offers","Unlabeled",40686.7754616874,"5+ Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"2263",2008,"Services","FRS&C","DHS","FEMA","ARFA9","UNITED STATES","Domestic","Domestic US","Small","<=2 Months",NA,NA,NA,NA,0,-1,"Limited Competition with multiple offers",NA,"3-4 Offers",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","N","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0.07,0.11,4982,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","FALSE","California Wildfires 2008",0,"Disaster","FEMA","Unlabeled","No Exception",NA,"FEMA","2-4 Offers","<~1 year",5693.46329182512,"2-4 Offers",2008-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"5035",2008,"Products","Other","Defense","Navy","M67865","UNITED STATES","Domestic","Domestic US","Medium <1B","<=2 Months",NA,NA,NA,NA,0,-1,"Unlabeled: Competition; Zero Offers",1,"Unlabeled: Competition; Zero Offers",0,0,0,"ORG-2943",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0.04,0.1,3960,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","Unlabeled","<~1 year",4525.5147803347,"Urgency",2008-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6878",2004,"Services","ERS","Defense","Navy","BS792","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,"ORG-2941",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0,75724,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",96370.5156415644,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"8854",2004,"Products","Electronics & Communications","Defense","Army","W912L8","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,"ORG-2869",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.02,0.07,12734,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","2-4 Offers","Unlabeled",16205.9868229317,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"9099",2006,"Services","ERS","Defense","Air Force","FA4427","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2844",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.02,0.07,50700,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","1 Offer","Unlabeled",60648.6731591315,"1 Offer",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"9510",2004,"Services","ERS","Defense","Navy","G2381","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2939",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.04,8210,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",10448.4962946654,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"9914",2004,"Services","ICT","Defense","Army","W91YU0","UNITED STATES","Domestic","Domestic US","Small","<=2 Months",NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2875",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.02,0.03,24941,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","1 Offer","<~1 year",31741.2845414434,"1 Offer",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"10730",2002,"Services","ERS","Defense","Navy","WN504","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,896024,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",1195053.39994429,"2-4 Offers",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"12680",2009,"Services","FRS&C","Other Agencies","Agriculture","91Z9","",NA,"US Vendor abroad","Small",NA,NA,NA,NA,NA,0,0,"No Competition (Other Exception)",1,"No competition",NA,0,0,NA,0,NA,"Unlabeled","W081","Disaster","N","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0.01,0,3571.3999,0,"Disaster","Unlabeled",NA,"Unlabeled",NA,"Services (Non-R&D)","FALSE","California Wildfires 2008",0,"Disaster","Agriculture","Unlabeled","No Exception",NA,"Agriculture","No Comp. (Other)","Unlabeled",4050.64605220388,"Urgency",2009-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
