"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","ConstructionProjectTitle","Classified","FiscalYear","BudgetMetric","OriginType","EnactedTotal","PBtotal","PBtype"
"1",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","Misc Items & Equip RDT&E Buildings","Fort Rucker","Combat Readiness Center","U","2012","AuthAmount","Base",NA,NA,11600
"2",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Aircraft Maintenance Facilities","Fort Wainwright","Aviation Complex, Ph 3A Inc 1","U","2012","AuthAmount","Base",NA,NA,114000
"3",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Personnel Support Facilities","Joint Base Elmendorf-Richardson","Physical Fitness Facility","U","2012","AuthAmount","Base",NA,NA,26000
"4",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Tank and Automotive Maintenance Facilities","Joint Base Elmendorf-Richardson","Brigade Complex, Ph 2","U","2012","AuthAmount","Base",NA,NA,74000
"5",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Vehicle Facilities","Joint Base Elmendorf-Richardson","Organizational Parking","U","2012","AuthAmount","Base",NA,NA,3600
"6",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Training Ranges","Fort Irwin","Qualification Training Range","U","2012","AuthAmount","Base",NA,NA,15500
"7",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Training Ranges","Fort Irwin","Infantry Squad Battle Course","U","2012","AuthAmount","Base",NA,NA,7500
"8",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Training Buildings","Presidio Monterey","General Instruction Building","U","2012","AuthAmount","Base",NA,NA,3000
"9",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Airfield Operational Buildings","Fort Carson, Colorado","Brigade Headquarters","U","2012","AuthAmount","Base",NA,NA,14400
"10",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Enlisted Personnel Unaccompanied Personnel Housing","Fort Carson, Colorado","Barracks","U","2012","AuthAmount","Base",NA,NA,113000
