"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2014,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Working Capital Fund","010","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"Total",155194,NA,NA,NA,NA
"2",2014,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2012,"Total",0,NA,NA,NA,NA
"3",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","010","010","0100","LMSR","Y","U",2012,"Total",73798,NA,NA,NA,NA
"4",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2012,"Total",1146616,NA,NA,NA,NA
"5",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2012,"Total",-422165,NA,NA,NA,NA
"6",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","040","040","0200","National Def Sealift Vessel","Y","U",2012,"Total",313422,NA,NA,NA,NA
"7",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"Total",0,NA,NA,NA,NA
"8",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","060","060","0230","DoD Mobilization Alterations","Y","U",2012,"Total",0,NA,NA,NA,NA
"9",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","070","070","0250","TAH Maintenance","Y","U",2012,"Total",0,NA,NA,NA,NA
"10",2014,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","080","080","0900","Research And Development","Y","U",2012,"Total",50632,NA,NA,NA,NA
"11",2014,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","090","090","0500","Ready Reserve Force","Y","U",2012,"Total",309577,NA,NA,NA,NA
"12",2014,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","Undistributed","100","100","CR","Adj to Match Continuing Resolution","Y","U",2012,"Total",0,NA,NA,NA,NA
"13",2014,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","Undistributed","010","010","UNDD","Undistributed","Y","U",2012,"Total",0,NA,NA,NA,NA
"14",2014,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","Working Capital Fund","010","010","220","C-17 CLS Engine Repair","Y","U",2012,"Total",0,NA,NA,NA,NA
"15",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","020","020","200","Transportation Fallen Heroes","Y","U",2012,"Total",0,NA,NA,NA,NA
"16",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","030","030","ES17","Fuel Costs","Y","U",2012,"Total",77372,NA,NA,NA,NA
"17",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Undistributed","040","040","CR","Adj to Match Continuing Resolution","Y","U",2012,"Total",0,NA,NA,NA,NA
"18",2014,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","Working Capital Fund","050","050","111","Supplies and Materials (Medical/Dental)","Y","U",2012,"Total",0,NA,NA,NA,NA
"19",2014,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"Total",400627,NA,NA,NA,NA
"20",2014,"493005D","Working Capital Fund, Defense-Wide","DEFW","20","DLA Working Capital Funds","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2012,"Total",0,NA,NA,NA,NA
"21",2014,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Undistributed","030","030","CR","Adj to Match Continuing Resolution","Y","U",2012,"Total",0,NA,NA,NA,NA
"22",2014,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","Y","U",2012,"Total",1376830,NA,NA,NA,NA
"23",2014,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2012,"Total",0,NA,NA,NA,NA
"24",2014,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA,NA,NA,NA
"25",2014,"*  Reflects the FY 2013 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA,NA,NA,NA
"26",2014,"   by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA,NA,NA,NA
"27",2014,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Working Capital Fund","010","010","200","Prepositioned War Reserve Stocks","Y","U",2013,"Base",NA,NA,60037,NA,NA
"28",2014,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2013,"Base",NA,NA,41777,NA,NA
"29",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","010","010","0100","LMSR","Y","U",2013,"Base",NA,NA,0,NA,NA
"30",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2013,"Base",NA,NA,38000,NA,NA
"31",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2013,"Base",NA,NA,39386,NA,NA
"32",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","040","040","0200","National Def Sealift Vessel","Y","U",2013,"Base",NA,NA,0,NA,NA
"33",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2013,"Base",NA,NA,128819,NA,NA
"34",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","060","060","0230","DoD Mobilization Alterations","Y","U",2013,"Base",NA,NA,26598,NA,NA
"35",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","070","070","0250","TAH Maintenance","Y","U",2013,"Base",NA,NA,29199,NA,NA
"36",2014,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","080","080","0900","Research And Development","Y","U",2013,"Base",NA,NA,42811,NA,NA
"37",2014,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","090","090","0500","Ready Reserve Force","Y","U",2013,"Base",NA,NA,303323,NA,NA
"38",2014,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","Undistributed","100","100","CR","Adj to Match Continuing Resolution","Y","U",2013,"Base",NA,NA,499118,NA,NA
"39",2014,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","Undistributed","010","010","UNDD","Undistributed","Y","U",2013,"Base",NA,NA,24200,NA,NA
"40",2014,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","Working Capital Fund","010","010","220","C-17 CLS Engine Repair","Y","U",2013,"Base",NA,NA,0,NA,NA
"41",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","020","020","200","Transportation Fallen Heroes","Y","U",2013,"Base",NA,NA,0,NA,NA
"42",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","030","030","ES17","Fuel Costs","Y","U",2013,"Base",NA,NA,0,NA,NA
"43",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Undistributed","040","040","CR","Adj to Match Continuing Resolution","Y","U",2013,"Base",NA,NA,20319,NA,NA
"44",2014,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","Working Capital Fund","050","050","111","Supplies and Materials (Medical/Dental)","Y","U",2013,"Base",NA,NA,45452,NA,NA
"45",2014,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2013,"Base",NA,NA,39135,NA,NA
"46",2014,"493005D","Working Capital Fund, Defense-Wide","DEFW","20","DLA Working Capital Funds","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2013,"Base",NA,NA,194,NA,NA
"47",2014,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Undistributed","030","030","CR","Adj to Match Continuing Resolution","Y","U",2013,"Base",NA,NA,-7521,NA,NA
"48",2014,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","Y","U",2013,"Base",NA,NA,1371560,NA,NA
"49",2014,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2013,"Base",NA,NA,13696,NA,NA
"50",2014,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Base",NA,NA,NA,NA,NA
"51",2014,"*  Reflects the FY 2013 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Base",NA,NA,NA,NA,NA
"52",2014,"   by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Base",NA,NA,NA,NA,NA
