"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"1",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","1  ","9440A11300","Utility F/W Aircraft","A","Weapon System Cost","1  ","Add","U",2012,"Total",14572,NA,NA,2,NA,NA
"2",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","2  ","9440A11301","Saturn Arch (MIP)","A","Weapon System Cost","2  ","Add","U",2012,"Total",0,NA,NA,0,NA,NA
"3",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","3  ","9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","3  ","Add","U",2012,"Total",0,NA,NA,0,NA,NA
"4",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","4  ","9670A00005","MQ-1 UAV","A","Weapon System Cost","4  ","Add","U",2012,"Total",550798,NA,NA,0,NA,NA
"5",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","5  ","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","5  ","Add","U",2012,"Total",86062,NA,NA,1131,NA,NA
"6",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","6  ","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","6  ","Add","U",2012,"Total",250415,NA,NA,39,NA,NA
"7",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","7  ","Add","U",2012,"Total",560741,NA,NA,27,NA,NA
"8",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","7  ","Add","U",2012,"Total",-160237,NA,NA,0,NA,NA
"9",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","8  ","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","8  ","Add","U",2012,"Total",192764,NA,NA,0,NA,NA
"10",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5840A05133","AH-64 Apache Block IIIB New Build","A","Weapon System Cost","9  ","Add","U",2012,"Total",0,NA,NA,0,NA,NA
"11",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5840A05133","AH-64 Apache Block IIIB New Build","B","Less: Advance Procurement (PY)","9  ","Add","U",2012,"Total",0,NA,NA,0,NA,NA
"12",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","10 ","5840A05133","AH-64 Apache Block IIIB New Build","C","Advance Procurement (CY)","10 ","Add","U",2012,"Total",84264,NA,NA,0,NA,NA
"13",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","6337A02345","Kiowa Warrior WRA","A","Weapon System Cost","11 ","Add","U",2012,"Total",112800,NA,NA,1,NA,NA
"14",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","12 ","Add","U",2012,"Total",1597728,NA,NA,89,NA,NA
"15",2014,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","12 ","Add","U",2012,"Total",-99962,NA,NA,0,NA,NA
