"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","ConstructionProject","ConstructionProjectTitle","Classified","FiscalYear","BudgetMetric","OriginType","ActualTotal","EnactedTotal","PBtype"
"1",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Misc Items & Equip Maint Facilities","Concord","07608700","General Purpose Maintenance Shop","U","2015","AuthAmount","Total",5300,NA,NA
"2",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Airfield Operational Buildings","Concord","07609300","Access Control Point","U","2015","AuthAmount","Total",9900,NA,NA
"3",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Aircraft Maintenance Facilities","Fort Irwin","08137200","Unmanned Aerial Vehicle Hangar","U","2015","AuthAmount","Total",45000,NA,NA
"4",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aircraft Maintenance Facilities","Fort Carson, Colorado","07730500","Aircraft Maintenance Hangar","U","2015","AuthAmount","Total",60000,NA,NA
"5",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aircraft Maintenance Facilities","Fort Carson, Colorado","08135700","Unmanned Aerial Vehicle Hangar","U","2015","AuthAmount","Total",29000,NA,NA
"6",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Airfield Operational Buildings","Fort Shafter","07066800","Command and Control Facility Complex","U","2015","AuthAmount","Total",311400,NA,NA
"7",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Airfield Operational Buildings","Blue Grass Army Depot","00898400","Shipping and Receiving Building","U","2015","AuthAmount","Total",15000,NA,NA
"8",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Aircraft Maintenance Facilities","Fort Campbell, Kentucky","07354200","Unmanned Aerial Vehicle Hangar","U","2015","AuthAmount","Total",23000,NA,NA
"9",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NY","NEW YORK","Aircraft Maintenance Facilities","Fort Drum, New York","08134900","Unmanned Aerial Vehicle Hangar","U","2015","AuthAmount","Total",27000,NA,NA
"10",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NY","NEW YORK","Enlisted Personnel Unaccompanied Personnel Housing","U.S. Military Academy","08118700","Cadet Barracks, Incr 3","U","2015","AuthAmount","Total",0,NA,NA
"11",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","PA","PENNSYLVANIA","Tank and Automotive Maintenance Facilities","Letterkenny Army Depot","06964900","Rebuild Shop","U","2015","AuthAmount","Total",16000,NA,NA
"12",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","SC","SOUTH CAROLINA","Enlisted Personnel Unaccompanied Personnel Housing","Fort Jackson","05193700","Trainee Barracks Complex 3, Ph1","U","2015","AuthAmount","Total",52000,NA,NA
"13",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Simulation Facilities","Fort Hood, Texas","06882600","Simulations Center","U","2015","AuthAmount","Total",46000,NA,NA
"14",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","VA","VIRGINIA","Vehicle Facilities","Joint Base Langley-Eustis","07327200","Tactical Vehicle Hardstand","U","2015","AuthAmount","Total",7700,NA,NA
"15",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GB","GUANTANAMO BAY, CUBA","Dispensaries & Clinics","Guantanamo Bay","08139300","Health Clinic","U","2015","AuthAmount","Total",11800,NA,NA
"16",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GB","GUANTANAMO BAY, CUBA","Unaccom Personnel Housing Mess Fac","Guantanamo Bay","08163500","Dining Facility","U","2015","AuthAmount","Total",12000,NA,NA
"17",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","JA","JAPAN","Install & Ready-Issue Ammunition Storage","Kadena AB","07783100","Missile Magazine","U","2015","AuthAmount","Total",10600,NA,NA
"18",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","RO","ROMANIA","Airfield Operational Buildings","Mihail Kogalniceanu","08571100","ERI: Multi Modal Improvements","U","2015","AuthAmount","Total",17000,NA,NA
"19",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","RO","ROMANIA","Operational Support Facilities Other Than Buildings","Mihail Kogalniceanu","08640400","ERI: Hazardous Cargo Ramp","U","2015","AuthAmount","Total",5000,NA,NA
"20",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","RO","ROMANIA","Operating Fuel Storage Facilities","Mihail Kogalniceanu","08640500","ERI: Fuel Storage Capacity","U","2015","AuthAmount","Total",15000,NA,NA
"21",2017,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","ZU","WORLDWIDE UNSPECIFIED","Other Operational","Unspecified Worldwide Locations","88850200","Foreign Currency Fluctuation Account","U","2015","AuthAmount","Total",61643,NA,NA
"22",2017,"2050A","2050","A","MILCON, Army","ARMY","02","MINOR CONSTRUCTION","ZU","WORLDWIDE UNSPECIFIED","Milcon Unspecified Minor Construction","Unspecified Worldwide Locations","07243800","Minor Construction FY15","U","2015","AuthAmount","Total",0,NA,NA
"23",2017,"2050A","2050","A","MILCON, Army","ARMY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","Milcon Planning & Design","Unspecified Worldwide Locations","07243400","Planning and Design FY15","U","2015","AuthAmount","Total",0,NA,NA
"24",2017,"2050A","2050","A","MILCON, Army","ARMY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","Host Nation Support (P&D)","Unspecified Worldwide Locations","07243600","Host Nation Support FY15","U","2015","AuthAmount","Total",0,NA,NA
"25",2017,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","DE","DELAWARE","Tank and Automotive Maintenance Facilities","Dagsboro","10008200","National Guard Vehicle Maintenance Shop","U","2015","AuthAmount","Total",10800,NA,NA
"26",2017,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","ME","MAINE","Training Buildings","Augusta","23011300","National Guard Reserve Center","U","2015","AuthAmount","Total",32000,NA,NA
"27",2017,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","Training Buildings","Havre De Grace","24016500","National Guard Readiness Center","U","2015","AuthAmount","Total",12400,NA,NA
"28",2017,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","MT","MONTANA","Training Buildings","Helena","30012800","National Guard Readiness Center Add/Alt","U","2015","AuthAmount","Total",38000,NA,NA
"29",2017,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","NM","NEW MEXICO","Training Buildings","Alamogordo","35002900","Readiness Center Add/Alt","U","2015","AuthAmount","Total",5000,NA,NA
"30",2017,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","ND","NORTH DAKOTA","Tank and Automotive Maintenance Facilities","Valley City","38007300","National Guard Vehicle Maintenance Shop","U","2015","AuthAmount","Total",10800,NA,NA
"31",2017,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","VT","VERMONT","Tank and Automotive Maintenance Facilities","North Hyde Park","50003600","National Guard Vehicle Maintenance Shop","U","2015","AuthAmount","Total",4400,NA,NA
"32",2017,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","WA","WASHINGTON","Enlisted Personnel Unaccompanied Personnel Housing","Yakima","53004100","Enlisted Barracks, Transient Training","U","2015","AuthAmount","Total",19000,NA,NA
"33",2017,"2085A","2085","A","MILCON, ARNG","ARMY","02","MINOR CONSTRUCTION","ZU","WORLDWIDE UNSPECIFIED","Milcon Unspecified Minor Construction","Unspecified Worldwide Locations","99002200","Unspecified Minor Construction","U","2015","AuthAmount","Total",0,NA,NA
"34",2017,"2085A","2085","A","MILCON, ARNG","ARMY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","Milcon Planning & Design","Unspecified Worldwide Locations","99003300","Planning and Design","U","2015","AuthAmount","Total",0,NA,NA
"35",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Training Buildings","Fresno","07190100","Army Reserve Center/AMSA","U","2015","AuthAmount","Total",22000,NA,NA
"36",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Training Buildings","March AFB","08581200","Army Reserve Center","U","2015","AuthAmount","Total",25000,NA,NA
"37",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Training Buildings","Fort Carson, Colorado","08195900","Training Building Addition","U","2015","AuthAmount","Total",5000,NA,NA
