"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","IncludeInTOA","AddOrNonAdd","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","005","Basic Pay","Y","Add","Y","U",2015,"Total",7358054,NA,NA,NA,NA
"2",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Add","Y","U",2015,"Total",2325023,NA,NA,NA,NA
"3",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Add","Y","U",2015,"Total",2327937,NA,NA,NA,NA
"4",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Add","Y","U",2015,"Total",302358,NA,NA,NA,NA
"5",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Add","Y","U",2015,"Total",86092,NA,NA,NA,NA
"6",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","040","Special Pays","Y","Add","Y","U",2015,"Total",382835,NA,NA,NA,NA
"7",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","045","Allowances","Y","Add","Y","U",2015,"Total",211258,NA,NA,NA,NA
"8",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","050","Separation Pay","Y","Add","Y","U",2015,"Total",201573,NA,NA,NA,NA
"9",2017,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Add","Y","U",2015,"Total",557102,NA,NA,NA,NA
"10",2017,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","060","Basic Pay","Y","Add","Y","U",2015,"Total",13468680,NA,NA,NA,NA
"11",2017,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","065","Retired Pay Accrual","Y","Add","Y","U",2015,"Total",4268144,NA,NA,NA,NA
"12",2017,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","080","Basic Allowance for Housing","Y","Add","Y","U",2015,"Total",5045006,NA,NA,NA,NA
"13",2017,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","085","Incentive Pays","Y","Add","Y","U",2015,"Total",96491,NA,NA,NA,NA
"14",2017,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","090","Special Pays","Y","Add","Y","U",2015,"Total",481352,NA,NA,NA,NA
"15",2017,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","095","Allowances","Y","Add","Y","U",2015,"Total",768230,NA,NA,NA,NA
"16",2017,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","100","Separation Pay","Y","Add","Y","U",2015,"Total",569061,NA,NA,NA,NA
"17",2017,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","105","Social Security Tax","Y","Add","Y","U",2015,"Total",1030178,NA,NA,NA,NA
"18",2017,"2010A","Military Personnel, Army","ARMY","03","Pay And Allowances Of Cadets","110","Academy Cadets","Y","Add","Y","U",2015,"Total",79236,NA,NA,NA,NA
"19",2017,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Add","Y","U",2015,"Total",1378310,NA,NA,NA,NA
"20",2017,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Add","Y","U",2015,"Total",809961,NA,NA,NA,NA
