"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","ConstructionProject","ConstructionProjectTitle","Classified","FiscalYear","BudgetMetric","OriginType","ActualTotal","EnactedTotal","PBtype"
"1",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Training Ranges","Fort Wainwright","13061681","Modified Record Fire Range","U","2013","AuthAmount","Total",10400,NA,NA
"2",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","Training Ranges","Joint Base Elmendorf-Richardson","13061731","Modified Record Fire Range","U","2013","AuthAmount","Total",7900,NA,NA
"3",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Misc Utilities-Each","Concord","13076086","Lightning Protection System","U","2013","AuthAmount","Total",5800,NA,NA
"4",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Installation, Repair & Operation Maint Fac.","Concord","13076091","Engineering/Housing Maintenance Shop","U","2013","AuthAmount","Total",3100,NA,NA
"5",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Training Ranges","Fort Carson, Colorado","13059626","Digital Multipurpose Training Range","U","2013","AuthAmount","Total",18000,NA,NA
"6",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","DC","DISTRICT OF COLUMBIA","Install & Org Covered Storage","Fort Mcnair","13078054","Vehicle Storage Building, Installation","U","2013","AuthAmount","Total",7200,NA,NA
"7",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Refregeration (AC) Source","Fort Benning","13077416","Ground Source Heat Transfer System","U","2013","AuthAmount","Total",16000,NA,NA
"8",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Training Ranges","Fort Gordon","13061498","Modified Record Fire Range","U","2013","AuthAmount","Total",4000,NA,NA
"9",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Training Ranges","Fort Gordon","13067017","Multipurpose Machine Gun Range","U","2013","AuthAmount","Total",7100,NA,NA
"10",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Refregeration (AC) Source","Fort Gordon","13077419","Ground Source Heat Transfer System","U","2013","AuthAmount","Total",12200,NA,NA
"11",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Training Ranges","Fort Stewart, Georgia","13057794","Digital Multipurpose Training Range","U","2013","AuthAmount","Total",22000,NA,NA
"12",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Training Ranges","Fort Stewart, Georgia","13067019","Automated Combat Pistol Qual Crse","U","2013","AuthAmount","Total",3650,NA,NA
"13",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Airfield Operational Buildings","Fort Stewart, Georgia","13073008","Unmanned Aerial Vehicle Complex","U","2013","AuthAmount","Total",24000,NA,NA
"14",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Training Ranges","Pohakuloa Training Area","13066023","Automated Infantry Platoon Battle Course","U","2013","AuthAmount","Total",29000,NA,NA
"15",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Enlisted Personnel Unaccompanied Personnel Housing","Schofield Barracks","13076586","Barracks","U","2013","AuthAmount","Total",41000,NA,NA
"16",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Enlisted Personnel Unaccompanied Personnel Housing","Schofield Barracks","13076587","Barracks","U","2013","AuthAmount","Total",55000,NA,NA
"17",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Enlisted Personnel Unaccompanied Personnel Housing","Wheeler Army Air Field","13076903","Combat Aviation Brigade Barracks","U","2013","AuthAmount","Total",85000,NA,NA
"18",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Aircraft Maintenance Facilities","Fort Riley, Kansas","13080114","Unmanned Aerial Vehicle Complex","U","2013","AuthAmount","Total",12200,NA,NA
"19",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Enlisted Personnel Unaccompanied Personnel Housing","Fort Campbell, Kentucky","13061810","Battalion Headquarters Complex","U","2013","AuthAmount","Total",55000,NA,NA
"20",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Training Ranges","Fort Campbell, Kentucky","13071712","Live Fire Exercise Shoothouse","U","2013","AuthAmount","Total",3800,NA,NA
"21",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Tank and Automotive Maintenance Facilities","Fort Campbell, Kentucky","13076239","Unmanned Aerial Vehicle Complex","U","2013","AuthAmount","Total",23000,NA,NA
"22",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Training Ranges","Fort Knox","13005924","Automated Infantry Squad Battle Course","U","2013","AuthAmount","Total",6000,NA,NA
"23",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MO","MISSOURI","Enlisted Personnel Unaccompanied Personnel Housing","Fort Leonard Wood","13054489","Trainee Barracks Complex 3, Ph 2","U","2013","AuthAmount","Total",58000,NA,NA
"24",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MO","MISSOURI","Tank and Automotive Maintenance Facilities","Fort Leonard Wood","13065679","Vehicle Maintenance Shop","U","2013","AuthAmount","Total",39000,NA,NA
"25",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MO","MISSOURI","Airfield Operational Buildings","Fort Leonard Wood","13066099","Battalion Complex Facilities","U","2013","AuthAmount","Total",26000,NA,NA
"26",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NJ","NEW JERSEY","Ammunition, Explosives, & Toxics RDT&E Buildings","Picatinny Arsenal","13051519","Ballistic Evaluation Center","U","2013","AuthAmount","Total",10200,NA,NA
"27",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NJ","NEW JERSEY","Aircraft Rdt&E Buildings","Joint Base Mcguire-Dix-Lakehurst","13071675","Flight Equipment Complex","U","2013","AuthAmount","Total",47000,NA,NA
"28",2015,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NY","NEW YORK","Aircraft Maintenance Facilities","Fort Drum, New York","13080246","Aircraft Maintenance Hangar","U","2013","AuthAmount","Total",95000,NA,NA
