"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"26",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","Y","U",2010,"Total",384462,NA,NA,NA,NA
"27",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2010,"Total",1309836,NA,NA,NA,NA
"28",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"29",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"30",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"31",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"32",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"33",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2011,"Base",NA,NA,109272,NA,NA
"34",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"35",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"36",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2011,"Base",NA,NA,1057979,NA,NA
"37",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2011,"Base",NA,NA,86871,NA,NA
"38",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","Y","U",2011,"Base",NA,NA,4073,NA,NA
"39",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2011,"Base",NA,NA,297621,NA,NA
"40",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2011,"Base",NA,NA,72115,NA,NA
"41",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","Y","U",2011,"Base",NA,NA,67889,NA,NA
"42",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","Y","U",2011,"Base",NA,NA,13573,NA,NA
"43",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","Y","U",2011,"Base",NA,NA,77990,NA,NA
"44",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","Y","U",2011,"Base",NA,NA,924700,NA,NA
"45",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"46",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Base",NA,NA,733079,NA,NA
"47",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"48",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"49",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","Y","U",2011,"Base",NA,NA,133722,NA,NA
"50",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"51",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"52",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","Y","U",2011,"Base",NA,NA,10000,NA,NA
"53",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Base",NA,NA,-10000,NA,NA
"54",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Base",NA,NA,154,NA,NA
"55",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","Y","U",2011,"Base",NA,NA,95217,NA,NA
"56",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Base",NA,NA,16127,NA,NA
"57",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"58",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"59",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2011,"Base",NA,NA,2547142,NA,NA
"60",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base",NA,NA,NA,NA,NA
"61",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base",NA,NA,NA,NA,NA
"62",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base",NA,NA,NA,NA,NA
"63",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base",NA,NA,NA,NA,NA
"64",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base",NA,NA,NA,NA,NA
"65",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"66",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"67",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"68",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"69",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"70",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"71",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"72",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"73",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"74",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"75",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"76",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"77",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"78",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"79",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"80",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","Y","U",2011,"OCO",NA,NA,34000,NA,NA
"81",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"82",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"83",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"84",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"85",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"86",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"OCO",NA,NA,-154,NA,NA
"87",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"88",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"OCO",NA,NA,964206,NA,NA
"89",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","Y","U",2011,"OCO",NA,NA,342857,NA,NA
"90",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","Y","U",2011,"OCO",NA,NA,1557963,NA,NA
"91",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2011,"OCO",NA,NA,0,NA,NA
"92",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO",NA,NA,NA,NA,NA
"93",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO",NA,NA,NA,NA,NA
"94",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO",NA,NA,NA,NA,NA
"95",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO",NA,NA,NA,NA,NA
"96",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO",NA,NA,NA,NA,NA
"97",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2011,"Total",NA,109272,NA,NA,NA
"98",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","Y","U",2011,"Total",NA,0,NA,NA,NA
"99",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2011,"Total",NA,0,NA,NA,NA
"100",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2011,"Total",NA,1057979,NA,NA,NA
"101",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2011,"Total",NA,86871,NA,NA,NA
"102",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","Y","U",2011,"Total",NA,4073,NA,NA,NA
"103",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2011,"Total",NA,297621,NA,NA,NA
"104",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2011,"Total",NA,72115,NA,NA,NA
"105",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","Y","U",2011,"Total",NA,67889,NA,NA,NA
"106",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","Y","U",2011,"Total",NA,13573,NA,NA,NA
"107",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","Y","U",2011,"Total",NA,77990,NA,NA,NA
"108",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","Y","U",2011,"Total",NA,924700,NA,NA,NA
"109",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2011,"Total",NA,0,NA,NA,NA
"110",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Total",NA,733079,NA,NA,NA
"111",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","Y","U",2011,"Total",NA,0,NA,NA,NA
"112",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","Y","U",2011,"Total",NA,34000,NA,NA,NA
"113",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","Y","U",2011,"Total",NA,133722,NA,NA,NA
"114",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","Y","U",2011,"Total",NA,0,NA,NA,NA
"115",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","Y","U",2011,"Total",NA,0,NA,NA,NA
"116",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","Y","U",2011,"Total",NA,10000,NA,NA,NA
"117",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Total",NA,-10000,NA,NA,NA
"118",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Total",NA,0,NA,NA,NA
"119",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","Y","U",2011,"Total",NA,95217,NA,NA,NA
"120",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Total",NA,980333,NA,NA,NA
"121",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","Y","U",2011,"Total",NA,342857,NA,NA,NA
"122",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","Y","U",2011,"Total",NA,1557963,NA,NA,NA
"123",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2011,"Total",NA,2547142,NA,NA,NA
"124",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total",NA,NA,NA,NA,NA
"125",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total",NA,NA,NA,NA,NA
"126",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total",NA,NA,NA,NA,NA
"127",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total",NA,NA,NA,NA,NA
"128",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total",NA,NA,NA,NA,NA
"129",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2012,"Base",NA,NA,NA,NA,101194
"130",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"131",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"132",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2012,"Base",NA,NA,NA,NA,425865
"133",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2012,"Base",NA,NA,NA,NA,24161
"134",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","Y","U",2012,"Base",NA,NA,NA,NA,1138
"135",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2012,"Base",NA,NA,NA,NA,92567
"136",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2012,"Base",NA,NA,NA,NA,184109
"137",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","Y","U",2012,"Base",NA,NA,NA,NA,40831
"138",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"139",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","Y","U",2012,"Base",NA,NA,NA,NA,48443
"140",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","Y","U",2012,"Base",NA,NA,NA,NA,309270
"141",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"142",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"143",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"144",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"145",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"146",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","Y","U",2012,"Base",NA,NA,NA,NA,65372
"147",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"148",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"149",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"150",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"151",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","Y","U",2012,"Base",NA,NA,NA,NA,31614
"152",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"153",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
"154",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","Y","U",2012,"Base",NA,NA,NA,NA,0
