"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","FiscalYear","Project.Title","BudgetMetric","OriginType","EnactedType","PBtotal","PBtype","EnactedTotal"
"7681",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ADMIN BLDGS","KANDAHAR, AFGHANISTAN","2010","Command & Control Facility","TOAamount","Base",NA,NA,13500,NA
"7682",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","KANDAHAR, AFGHANISTAN","2010","Tanker Truck Off-Load Facility","TOAamount","Base",NA,NA,23000,NA
"7683",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ROADS","KANDAHAR, AFGHANISTAN","2010","South Park Roads","TOAamount","Base",NA,NA,11000,NA
"7684",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","POTABLE WATER SUPPLY, TREATMENT & STORAGE","KANDAHAR, AFGHANISTAN","2010","Utilities, Ph 2","TOAamount","Base",NA,NA,32000,NA
"7685",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ELECTRIC POWER SOURCE","KANDAHAR, AFGHANISTAN","2010","Waste Management Complex","TOAamount","Base",NA,NA,10000,NA
"7686",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","INSTALL & ORG COVERED STORAGE","KANDAHAR, AFGHANISTAN","2010","Warehouse","TOAamount","Base",NA,NA,20000,NA
"7687",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","TANK AND AUTOMOTIVE MAINTENANCE FACILITIES","KANDAHAR, AFGHANISTAN","2010","Theater Vehicle Maintenance Compound","TOAamount","Base",NA,NA,55000,NA
"7688",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","KANDAHAR, AFGHANISTAN","2010","Entry Control Point","TOAamount","Base",NA,NA,12800,NA
"7689",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","KANDAHAR, AFGHANISTAN","2010","Perimeter Fence and Guard Towers, Ph 2","TOAamount","Base",NA,NA,10400,NA
"7690",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","SEWAGE & INDUSTRIAL WASTE TREATMENT & DISPOSAL","KANDAHAR, AFGHANISTAN","2010","Waste Water Treatment Facility","TOAamount","Base",NA,NA,4300,NA
"7691",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","GHAZNI, AFGHANISTAN","2010","Waste Management Complex","TOAamount","Base",NA,NA,5500,NA
"7692",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","BAGRAM AIR BASE, AFGHANISTAN","2010","Fuel System Ph 6","TOAamount","Base",NA,NA,12000,NA
"7693",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","OPERATIONAL SUPPORT BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Fuel System Ph 7","TOAamount","Base",NA,NA,5000,NA
"7694",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Coalition Operation Center","TOAamount","Base",NA,NA,49000,NA
"7695",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","BAGRAM AIR BASE, AFGHANISTAN","2010","Barracks","TOAamount","Base",NA,NA,18500,NA
"7696",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","DEPOT & ARSENAL COVERED STORAGE","BAGRAM AIR BASE, AFGHANISTAN","2010","APS Compound","TOAamount","Base",NA,NA,38000,NA
