"","SourceFiscalYear","FiscalYear","OriginType","AccountDSI","EnactedTotal","EnactedType"
"1",2015,2013,"Total","*  Aircraft Procurement Army - This total reflects cancellation of $80,000 proposed in the FY 2015 President's Budget, but does not reflect cancellation of $117,000 proposed in the OCO amendment to the FY 2015 President's Budget.",0,0
"2",2015,2013,"Total","*  Missile Procurement Air Force - This total reflects cancellation of $67,000 proposed in the FY 2015 President's Budget.",0,0
"3",2015,2013,"Total","* Defense Health Program - $161.8M for transfer to the Veteran's Administration included in this total.",0,0
"4",2015,2013,"Total","* Operation & Maintenance, Navy - $291M for transfer to the Maritime Administration included in this total.",0,0
"5",2015,2013,"Total","** Other Procurement Army - This total reflects cancellation of $118,685 proposed in the FY 2015 President;s Budget.",0,0
"6",2015,2013,"Total","0100D",0,0
"7",2015,2013,"Total","0104D",0,0
"8",2015,2013,"Total","0105D",0,0
"9",2015,2013,"Total","0107D",0,0
"10",2015,2013,"Total","0111D",0,0
"11",2015,2013,"Total","0114D",0,0
"12",2015,2013,"Total","0118D",0,0
"13",2015,2013,"Total","0130D",0,0
"14",2015,2013,"Total","0134D",0,0
"15",2015,2013,"Total","0145D",0,0
"16",2015,2013,"Total","0300D",0,0
"17",2015,2013,"Total","0303D",0,0
"18",2015,2013,"Total","0350D",0,0
"19",2015,2013,"Total","0360D",0,0
"20",2015,2013,"Total","0390D",0,0
"21",2015,2013,"Total","0400D",0,0
"22",2015,2013,"Total","0460D",0,0
"23",2015,2013,"Total","0513N",0,0
"24",2015,2013,"Total","0810A",0,0
"25",2015,2013,"Total","0810D",0,0
"26",2015,2013,"Total","0810F",0,0
"27",2015,2013,"Total","0810N",0,0
"28",2015,2013,"Total","0811D",0,0
"29",2015,2013,"Total","0819D",0,0
"30",2015,2013,"Total","0833D",0,0
"31",2015,2013,"Total","0838D",0,0
"32",2015,2013,"Total","1106N",0,0
"33",2015,2013,"Total","1107N",0,0
"34",2015,2013,"Total","1109N",0,0
"35",2015,2013,"Total","1319N",0,0
"36",2015,2013,"Total","1506N",0,0
"37",2015,2013,"Total","1507N",0,0
"38",2015,2013,"Total","1508N",0,0
"39",2015,2013,"Total","1611N",0,0
"40",2015,2013,"Total","1804N",0,0
"41",2015,2013,"Total","1806N",0,0
"42",2015,2013,"Total","1810N",0,0
"43",2015,2013,"Total","2020A",0,0
"44",2015,2013,"Total","2031A",0,0
