"","SourceFiscalYear","FiscalYear","OriginType","AccountDSI","EnactedTotal","EnactedType"
"1",2016,2014,"Total","",0,0
"2",2016,2014,"Total","*  $95M for Ebola Response and Preparedness included in this total.",0,0
"3",2016,2014,"Total","* $17M for Ebola Response and Preparedness included in this total.",0,0
"4",2016,2014,"Total","* Defense Health Program - $135.4M for transfer to the Veteran’s Administration included in this total.",0,0
"5",2016,2014,"Total","0100D",0,0
"6",2016,2014,"Total","0104D",0,0
"7",2016,2014,"Total","0105D",0,0
"8",2016,2014,"Total","0107D",0,0
"9",2016,2014,"Total","0111D",0,0
"10",2016,2014,"Total","0114D",0,0
"11",2016,2014,"Total","0130D",0,0
"12",2016,2014,"Total","0134D",0,0
"13",2016,2014,"Total","0145D",0,0
"14",2016,2014,"Total","0300D",0,0
"15",2016,2014,"Total","0303D",0,0
"16",2016,2014,"Total","0350D",0,0
"17",2016,2014,"Total","0360D",0,0
"18",2016,2014,"Total","0390D",0,0
"19",2016,2014,"Total","0400D",0,0
"20",2016,2014,"Total","0460D",0,0
"21",2016,2014,"Total","0513N",0,0
"22",2016,2014,"Total","0810A",0,0
"23",2016,2014,"Total","0810D",0,0
"24",2016,2014,"Total","0810F",0,0
"25",2016,2014,"Total","0810N",0,0
"26",2016,2014,"Total","0811D",0,0
"27",2016,2014,"Total","0819D",0,0
"28",2016,2014,"Total","0838D",0,0
"29",2016,2014,"Total","1106N",0,0
"30",2016,2014,"Total","1107N",0,0
"31",2016,2014,"Total","1109N",0,0
"32",2016,2014,"Total","1236N",0,0
"33",2016,2014,"Total","1319N",0,0
"34",2016,2014,"Total","1506N",0,0
"35",2016,2014,"Total","1507N",0,0
"36",2016,2014,"Total","1508N",0,0
"37",2016,2014,"Total","1611N",0,0
"38",2016,2014,"Total","1804N",0,0
"39",2016,2014,"Total","1806N",0,0
"40",2016,2014,"Total","1810N",0,0
"41",2016,2014,"Total","2020A",0,0
"42",2016,2014,"Total","2031A",0,0
"43",2016,2014,"Total","2032A",0,0
"44",2016,2014,"Total","2033A",0,0
"45",2016,2014,"Total","2034A",0,0
"46",2016,2014,"Total","2035A",0,0
"47",2016,2014,"Total","2040A",0,0
"48",2016,2014,"Total","2065A",0,0
"49",2016,2014,"Total","2080A",0,0
"50",2016,2014,"Total","2091A",0,0
"51",2016,2014,"Total","2093A",0,0
"52",2016,2014,"Total","2096A",0,0
"53",2016,2014,"Total","2097A",0,0
"54",2016,2014,"Total","2098A",0,0
"55",2016,2014,"Total","3010F",0,0
"56",2016,2014,"Total","3011F",0,0
"57",2016,2014,"Total","3020F",0,0
"58",2016,2014,"Total","3021F",0,0
"59",2016,2014,"Total","3080F",0,0
"60",2016,2014,"Total","3400F",0,0
"61",2016,2014,"Total","3600F",0,0
"62",2016,2014,"Total","3740F",0,0
"63",2016,2014,"Total","3840F",0,0
"64",2016,2014,"Total","4557N",0,0
"65",2016,2014,"Total","493001A",0,0
"66",2016,2014,"Total","493003F",0,0
"67",2016,2014,"Total","493004D",0,0
"68",2016,2014,"Total","493005D",0,0
"69",2016,2014,"Total","5185N",0,0
"70",2016,2014,"Total","5188D",0,0
"71",2016,2014,"Total","5189D",0,0
"72",2016,2014,"Total","5751D",0,0
"73",2016,2014,"Total","Unlabeled",0,0
"74",2016,2015,"Base","",0,0
"75",2016,2015,"Base","*  $95M for Ebola Response and Preparedness included in this total.",0,0
"76",2016,2015,"Base","* $17M for Ebola Response and Preparedness included in this total.",0,0
"77",2016,2015,"Base","* Defense Health Program - $135.4M for transfer to the Veteran’s Administration included in this total.",0,0
"78",2016,2015,"Base","0100D",0,31101405
"79",2016,2015,"Base","0104D",0,13723
"80",2016,2015,"Base","0105D",0,950687
"81",2016,2015,"Base","0107D",0,313230
"82",2016,2015,"Base","0111D",0,83034
"83",2016,2015,"Base","0114D",0,0
"84",2016,2015,"Base","0130D",0,33781533
"85",2016,2015,"Base","0134D",0,365108
"86",2016,2015,"Base","0145D",0,0
"87",2016,2015,"Base","0300D",0,8857870
"88",2016,2015,"Base","0303D",0,0
"89",2016,2015,"Base","0350D",0,0
"90",2016,2015,"Base","0360D",0,103276
"91",2016,2015,"Base","0390D",0,2200449
"92",2016,2015,"Base","0400D",0,17217225
"93",2016,2015,"Base","0460D",0,208711
"94",2016,2015,"Base","0513N",0,540000
"95",2016,2015,"Base","0810A",0,201560
"96",2016,2015,"Base","0810D",0,8547
"97",2016,2015,"Base","0810F",0,408716
"98",2016,2015,"Base","0810N",0,277294
"99",2016,2015,"Base","0811D",0,250853
"100",2016,2015,"Base","0819D",0,103000
"101",2016,2015,"Base","0838D",0,10000
"102",2016,2015,"Base","1106N",0,5600954
"103",2016,2015,"Base","1107N",0,270846
"104",2016,2015,"Base","1109N",0,1870418
"105",2016,2015,"Base","1236N",0,0
"106",2016,2015,"Base","1319N",0,15954604
"107",2016,2015,"Base","1506N",0,29516070
"108",2016,2015,"Base","1507N",0,6274514
"109",2016,2015,"Base","1508N",0,1348200
"110",2016,2015,"Base","1611N",0,32287520
"111",2016,2015,"Base","1804N",0,37552046
"112",2016,2015,"Base","1806N",0,1021200
"113",2016,2015,"Base","1810N",0,11693116
"114",2016,2015,"Base","2020A",0,31752749
"115",2016,2015,"Base","2031A",0,10432450
"116",2016,2015,"Base","2032A",0,2417384
"117",2016,2015,"Base","2033A",0,3444272
"118",2016,2015,"Base","2034A",0,2030954
"119",2016,2015,"Base","2035A",0,9495046
"120",2016,2015,"Base","2040A",0,6673146
"121",2016,2015,"Base","2065A",0,6175951
"122",2016,2015,"Base","2080A",0,2513393
"123",2016,2015,"Base","2091A",0,0
"124",2016,2015,"Base","2093A",0,0
"125",2016,2015,"Base","2096A",0,0
"126",2016,2015,"Base","2097A",0,0
"127",2016,2015,"Base","2098A",0,0
"128",2016,2015,"Base","3010F",0,24135406
"129",2016,2015,"Base","3011F",0,1319818
"130",2016,2015,"Base","3020F",0,9252030
"131",2016,2015,"Base","3021F",0,0
"132",2016,2015,"Base","3080F",0,33559266
"133",2016,2015,"Base","3400F",0,34458670
"134",2016,2015,"Base","3600F",0,23630474
"135",2016,2015,"Base","3740F",0,3026342
"136",2016,2015,"Base","3840F",0,6408558
"137",2016,2015,"Base","4557N",0,509429
"138",2016,2015,"Base","493001A",0,238727
"139",2016,2015,"Base","493003F",0,61717
"140",2016,2015,"Base","493004D",0,1304731
"141",2016,2015,"Base","493005D",0,44293
"142",2016,2015,"Base","5185N",0,0
"143",2016,2015,"Base","5188D",0,5546
"144",2016,2015,"Base","5189D",0,24629
"145",2016,2015,"Base","5751D",0,0
"146",2016,2015,"Base","Unlabeled",0,25315193
"147",2016,2015,"OCO","",0,0
"148",2016,2015,"OCO","*  $95M for Ebola Response and Preparedness included in this total.",0,0
"149",2016,2015,"OCO","* $17M for Ebola Response and Preparedness included in this total.",0,0
"150",2016,2015,"OCO","* Defense Health Program - $135.4M for transfer to the Veteran’s Administration included in this total.",0,0
"151",2016,2015,"OCO","0100D",0,7211025
"152",2016,2015,"OCO","0104D",0,0
"153",2016,2015,"OCO","0105D",0,205000
"154",2016,2015,"OCO","0107D",0,10623
"155",2016,2015,"OCO","0111D",0,0
"156",2016,2015,"OCO","0114D",0,175000
