"","SourceFiscalYear","FiscalYear","OriginType","AccountDSI","EnactedTotal","EnactedType"
"1",2017,2015,"Total","* Defense Health Program - $137.4M for transfer to the Department of Veterans Affairs included in this total.",0,0
"2",2017,2015,"Total","0100D",0,0
"3",2017,2015,"Total","0104D",0,0
"4",2017,2015,"Total","0105D",0,0
"5",2017,2015,"Total","0107D",0,0
"6",2017,2015,"Total","0111D",0,0
"7",2017,2015,"Total","0130D",0,0
"8",2017,2015,"Total","0134D",0,0
"9",2017,2015,"Total","0145D",0,0
"10",2017,2015,"Total","0300D",0,0
"11",2017,2015,"Total","0303D",0,0
"12",2017,2015,"Total","0350D",0,0
"13",2017,2015,"Total","0360D",0,0
"14",2017,2015,"Total","0390D",0,0
"15",2017,2015,"Total","0400D",0,0
"16",2017,2015,"Total","0460D",0,0
"17",2017,2015,"Total","0513N",0,0
"18",2017,2015,"Total","0810A",0,0
"19",2017,2015,"Total","0810D",0,0
"20",2017,2015,"Total","0810F",0,0
"21",2017,2015,"Total","0810N",0,0
"22",2017,2015,"Total","0811D",0,0
"23",2017,2015,"Total","0819D",0,0
"24",2017,2015,"Total","0838D",0,0
"25",2017,2015,"Total","1000N",0,0
"26",2017,2015,"Total","1001N",0,0
"27",2017,2015,"Total","1002N",0,0
"28",2017,2015,"Total","1003N",0,0
"29",2017,2015,"Total","1004A",0,0
"30",2017,2015,"Total","1005A",0,0
"31",2017,2015,"Total","1006A",0,0
"32",2017,2015,"Total","1007F",0,0
"33",2017,2015,"Total","1008F",0,0
"34",2017,2015,"Total","1009F",0,0
"35",2017,2015,"Total","1105N",0,0
"36",2017,2015,"Total","1106N",0,0
"37",2017,2015,"Total","1107N",0,0
"38",2017,2015,"Total","1108N",0,0
"39",2017,2015,"Total","1109N",0,0
"40",2017,2015,"Total","1319N",0,0
"41",2017,2015,"Total","1405N",0,0
"42",2017,2015,"Total","1453N",0,0
"43",2017,2015,"Total","1506N",0,0
"44",2017,2015,"Total","1507N",0,0
"45",2017,2015,"Total","1508N",0,0
"46",2017,2015,"Total","1611N",0,0
"47",2017,2015,"Total","1804N",0,0
"48",2017,2015,"Total","1806N",0,0
"49",2017,2015,"Total","1810N",0,0
"50",2017,2015,"Total","2010A",0,0
"51",2017,2015,"Total","2020A",0,0
"52",2017,2015,"Total","2031A",0,0
"53",2017,2015,"Total","2032A",0,0
"54",2017,2015,"Total","2033A",0,0
"55",2017,2015,"Total","2034A",0,0
"56",2017,2015,"Total","2035A",0,0
"57",2017,2015,"Total","2040A",0,0
"58",2017,2015,"Total","2060A",0,0
"59",2017,2015,"Total","2065A",0,0
"60",2017,2015,"Total","2070A",0,0
"61",2017,2015,"Total","2080A",0,0
"62",2017,2015,"Total","2091A",0,0
"63",2017,2015,"Total","2093A",0,0
"64",2017,2015,"Total","2093D",0,0
"65",2017,2015,"Total","2097A",0,0
"66",2017,2015,"Total","2098A",0,0
"67",2017,2015,"Total","3010F",0,0
"68",2017,2015,"Total","3011F",0,0
"69",2017,2015,"Total","3020F",0,0
"70",2017,2015,"Total","3021F",0,0
"71",2017,2015,"Total","3080F",0,0
"72",2017,2015,"Total","3400F",0,0
"73",2017,2015,"Total","3500F",0,0
"74",2017,2015,"Total","3600F",0,0
"75",2017,2015,"Total","3700F",0,0
"76",2017,2015,"Total","3740F",0,0
"77",2017,2015,"Total","3840F",0,0
"78",2017,2015,"Total","3850F",0,0
"79",2017,2015,"Total","4557N",0,0
"80",2017,2015,"Total","493001A",0,0
"81",2017,2015,"Total","493003F",0,0
